"","S","L","Top","Bas","Int","Can","Herb","Loop","Omn","ChLen","ChSD","ChNum","TL","MxSim","VulSD","GenSD","LinkSD","Path","Clust"
"538",207,3055,0.135265700483092,0.0483091787439614,0.816425120772947,0.0628019323671498,0.304347826086957,0.526570048309179,0.0821256038647343,1.66423357664234,0.489257725040063,2.13672056715641,2.42553596950506,0.711558430487861,0.514379205530189,0.764145111043343,0.761631369442753,1.60156962949443,0.232077586577999
"539",207,3055,0.135265700483092,0.0483091787439614,0.816425120772947,0.0531400966183575,0.309178743961353,0.531400966183575,0.072463768115942,1.62589928057554,0.485639893052575,2.14301480025409,2.42978476190709,0.707285140270491,0.514244259118606,0.760761164346176,0.762054983203872,1.61651810078224,0.248821685428701
"540",207,3055,0.140096618357488,0.0483091787439614,0.811594202898551,0.072463768115942,0.304347826086957,0.531400966183575,0.0821256038647343,1.63432835820896,0.513590410166827,2.12710479836481,2.437938190016,0.702234481783554,0.509138118303357,0.761634976594669,0.760058872270007,1.59877543670088,0.239508401436289
"541",206,3055,0.131067961165049,0.0436893203883495,0.825242718446602,0.0533980582524272,0.305825242718447,0.538834951456311,0.0728155339805825,1.64393939393939,0.511435276550604,2.12057393120585,2.43819016101109,0.704263306130081,0.505453751950858,0.762112737115823,0.752084407226541,1.60618820944709,0.231864639028766
"542",207,3055,0.1256038647343,0.0483091787439614,0.826086956521739,0.0531400966183575,0.304347826086957,0.531400966183575,0.0821256038647343,1.62595419847328,0.485733036246731,2.11727129565576,2.42947493698861,0.710425826060112,0.513206451661306,0.757271247067152,0.754491018631544,1.58188090050835,0.233592132821941
"543",207,3055,0.130434782608696,0.0483091787439614,0.821256038647343,0.0628019323671498,0.304347826086957,0.531400966183575,0.0821256038647343,1.61940298507463,0.487355548205786,2.12710479836481,2.43475424311824,0.70758115850018,0.504395413682252,0.761795596814126,0.759858538917259,1.58363903154806,0.242470366022166
"544",207,3055,0.135265700483092,0.0483091787439614,0.816425120772947,0.0628019323671498,0.304347826086957,0.526570048309179,0.072463768115942,1.65925925925926,0.491160109514761,2.13033376849501,2.42709642205804,0.711638467186145,0.514466596136549,0.756896530668429,0.760102548299646,1.59724238026125,0.237167907552578
"545",206,3055,0.135922330097087,0.0436893203883495,0.820388349514563,0.0679611650485437,0.305825242718447,0.533980582524272,0.0825242718446602,1.63309352517986,0.498459727445768,2.14301480025409,2.43464301333934,0.708414545636691,0.513950223759446,0.757282299499162,0.755899278276829,1.58890336994973,0.244074878692624
"546",207,3055,0.130434782608696,0.0483091787439614,0.821256038647343,0.0676328502415459,0.304347826086957,0.536231884057971,0.0821256038647343,1.62686567164179,0.485452146283751,2.12710479836481,2.43801972931437,0.715786676680338,0.511063450053053,0.756262559913865,0.75674064917932,1.58772893772894,0.245886798725176
"547",207,3055,0.1256038647343,0.0531400966183575,0.821256038647343,0.0531400966183575,0.304347826086957,0.526570048309179,0.072463768115942,1.61654135338346,0.503349455560753,2.12385164096709,2.42244390390415,0.711286745242919,0.502967253214614,0.763243142104465,0.753650028960791,1.63540530716103,0.232629244883501
"548",207,3055,0.130434782608696,0.0483091787439614,0.821256038647343,0.0628019323671498,0.304347826086957,0.531400966183575,0.0821256038647343,1.65671641791045,0.476586824915789,2.12710479836481,2.42747601422358,0.709358095254021,0.510288002339087,0.761529992687303,0.75632270126901,1.59195612431444,0.227138272971992
"549",207,3055,0.135265700483092,0.0483091787439614,0.816425120772947,0.0579710144927536,0.304347826086957,0.536231884057971,0.072463768115942,1.68888888888889,0.480464120558735,2.13033376849501,2.43028359085548,0.711988318641285,0.508751210511034,0.76082077816789,0.75740405969454,1.62222222222222,0.234277195732097
