,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,network
,-1,1.1,0.087719298,0.294117647,-0.903614458,0.5,0,0.230647709,0.192712917,-0.377442723,0.524422143,-0.199096566,-0.357933552,-0.280981959,-0.308286739,0.275029238,-0.067326595,fezouata
,-1,1.1,0.087719298,0.764705882,-0.951807229,0.572727273,1.470588235,-1,-1,-1,0.556631447,-0.190206595,-0.441920489,-0.287753251,-0.328392192,0.352133144,0.15518698,fezouata
,-1,0.7,0.111111111,-0.058823529,-0.939759036,0.590909091,0.470588235,-1,-1,-1,0.627911392,-0.200273886,-0.515867581,-0.262856773,-0.28571373,0.279641547,0.061900135,fezouata
,-1,0.3,0.134502924,0.764705882,-0.963855422,0.636363636,0.882352941,-1,-1,-1,1.170795846,-0.211650212,-0.483043318,-0.291275824,-0.292365227,0.313578044,0.136489909,fezouata
,-0.923076923,0.3,0.122807018,-0.058823529,-0.939759036,0.681818182,-0.411764706,0.357637623,-0.126999326,-0.250858875,0.811925217,-0.228764035,-0.27211255,-0.299216661,-0.302092389,0.310867794,-0.166813718,fezouata
,-1,1.1,0.087719298,0,-0.86746988,0.436363636,0.588235294,-1,-1,-1,0.523568967,-0.179536433,-0.523668998,-0.235300783,-0.250908896,0.271405494,0.151759552,fezouata
,-0.730769231,0.3,0.093567251,0.235294118,-0.951807229,0.663636364,0.705882353,0.451887747,0.343411208,-0.082143984,0.758359259,-0.202148916,-0.457591629,-0.369325967,-0.375198438,0.284359413,-0.097884841,fezouata
,-1,-0.3,0.169590643,0.470588235,-0.951807229,0.654545455,0.941176471,-1,-1,-1,1.176674662,-0.195758905,-0.355935987,-0.280903831,-0.314858397,0.330148153,0.106449076,fezouata
,-1,0.5,0.122807018,0.529411765,-0.951807229,0.609090909,1.176470588,-1,-1,-1,0.692468675,-0.203998536,-0.391134012,-0.340326867,-0.349558767,0.295821284,0.089916437,fezouata
,-0.692307692,0.5,0.076023392,0.058823529,-0.951807229,0.563636364,0.058823529,0.384130552,0.642389267,-0.064543071,0.770296816,-0.215988475,-0.25103783,-0.349325342,-0.333198121,0.303411086,-0.117240482,fezouata
,-0.884055265,0.507281553,0.104752172,0.595945174,-0.891039888,0.589496911,1.423472302,0.187369117,-0.094310042,-0.230893334,0.656980103,-0.193070231,-0.384663017,-0.355149717,-0.388174284,0.261687166,0.130286332,fezouata
,-1,0.909223301,0.09887583,0.004854369,-0.927359925,0.598631951,-0.349800114,-1,-1,-1,0.537647206,-0.198842259,-0.246007373,-0.267124981,-0.300129255,0.237713205,-0.174865314,fezouata
,-0.923076923,0.5,0.111111111,0.470588235,-0.927710843,0.590909091,1.411764706,0.585996025,0.722156495,-0.297803262,0.846921022,-0.201004411,-0.4070453,-0.265617453,-0.247821958,0.340980948,0.23831204,fezouata
,-1,0.5,0.122807018,0.823529412,-0.963855422,0.663636364,1.235294118,-1,-1,-1,0.68903983,-0.206957415,-0.48782997,-0.330287402,-0.363824341,0.236816865,0.127210557,fezouata
,-1,0.8,0.105263158,0.235294118,-0.903614458,0.536363636,0.941176471,-1,-1,-1,0.580545029,-0.200124187,-0.396044611,-0.225050846,-0.234693135,0.295118487,0.098630722,fezouata
,-1,0.8,0.105263158,0.117647059,-0.903614458,0.572727273,0.117647059,-1,-1,-1,0.568215317,-0.192697954,-0.428559003,-0.263774478,-0.30707464,0.271982999,-0.014542631,fezouata
,-1,0.6,0.116959064,0.588235294,-0.939759036,0.645454545,0.705882353,-1,-1,-1,0.689970564,-0.194117706,-0.440957514,-0.284606665,-0.301344837,0.265085258,0.19322107,fezouata
,-1,0.708252427,0.110628513,-0.113363792,-0.842613171,0.516416593,0.300399772,-1,-1,-1,0.536290155,-0.204423141,-0.438648624,-0.312008295,-0.346889451,0.288030313,-0.087753783,fezouata
,-1,0.5,0.122807018,0.941176471,-0.939759036,0.618181818,1.058823529,-1,-1,-1,1.124425485,-0.224558075,-0.543214693,-0.274226755,-0.297683445,0.309298511,0.121906053,fezouata
,-0.961538462,0.7,0.105263158,0.529411765,-0.903614458,0.6,0.470588235,0.328199052,0.491571763,-0.318616233,0.664651695,-0.220568375,-0.350032257,-0.304520476,-0.330103934,0.283694573,-0.041411335,fezouata
,-1,0.6,0.116959064,0,-0.939759036,0.627272727,-0.529411765,-1,-1,-1,0.662485855,-0.205268492,-0.299330524,-0.331770368,-0.365219891,0.258917963,-0.218145053,fezouata
,-1,0.808737864,0.104752172,0.536836094,-0.927359925,0.60776699,0.536836094,0.295681938,-0.52318722,-0.408964129,0.573382602,-0.210861788,-0.34600728,-0.291057241,-0.328384538,0.266380922,0.017705965,fezouata
,-1,0,0.152046784,0.352941176,-0.927710843,0.618181818,0.470588235,-1,-1,-1,0.850448124,-0.211904507,-0.461481246,-0.309625161,-0.344174238,0.260300437,0.050143009,fezouata
,-0.653846154,0.5,0.070175439,0.470588235,-0.951807229,0.554545455,0.529411765,0.29044296,0.296025597,-0.009439416,1.325504622,-0.200972124,-0.304485536,-0.258263252,-0.250612695,0.330111744,0.164407725,fezouata
,-1,0.7,0.111111111,0.411764706,-0.951807229,0.636363636,0.647058824,-1,-1,-1,0.685803424,-0.224256575,-0.426713358,-0.305232894,-0.344673964,0.281759314,0.050718984,fezouata
,-1,0.30631068,0.134133878,0.773272416,-0.975786642,0.662577229,0.950599657,-1,-1,-1,1.178772727,-0.202211337,-0.376366885,-0.26771027,-0.287070955,0.340295523,0.147909672,fezouata
,-1,0.8,0.105263158,0.588235294,-0.951807229,0.481818182,0.941176471,-1,-1,-1,0.705800373,-0.203455061,-0.456082263,-0.349511982,-0.380809406,0.30098156,-0.058232347,fezouata
,-1,0.406796117,0.128257537,0.536836094,-0.939466604,0.635172109,0.950599657,-1,-1,-1,0.776279939,-0.210190934,-0.478858537,-0.350075475,-0.387339717,0.264512156,0.026761966,fezouata
,-0.923076923,0.7,0.099415205,0.411764706,-0.975903614,0.6,0.529411765,0.050552923,-0.022824583,-0.377442723,0.853626278,-0.20166346,-0.442426312,-0.261559028,-0.28735706,0.259250047,0.091704954,fezouata
,-1,0.7,0.111111111,0.294117647,-0.951807229,0.609090909,0.176470588,-1,-1,-1,0.805451071,-0.214603285,-0.498863127,-0.21062704,-0.244873286,0.336036153,0.010358338,fezouata
