network,type,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.004830918,0.077294686,0.917874396,0.125603865,0.024154589,0.821256039,0.246376812,1,NaN,0,4.483452787,0.717710789,0.312130474,0.648140947,0.631794435,2.061403509,0.374855401,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.062801932,0.082125604,0.855072464,0.096618357,0.019323671,0.845410628,0.101449275,2.438095238,0.840640102,2.322219295,4.247453917,0.725564185,0.329419963,0.533694425,0.510977574,1.833585838,0.272865815,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.106280193,0.028985507,0.84057971,0.120772947,NaN,NaN,,3.977366649,0.72921218,0.255331122,0.545756011,0.50533072,1.85857153,0.328661309,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.101449275,0.898550725,0.106280193,0.038647343,0.797101449,0.082125604,1.952380952,0.589592272,1.322219295,3.703647024,0.736587756,0.290805603,0.565279074,0.515615091,1.825012002,0.293987828,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.101449275,0.898550725,0.144927536,0.019323671,0.835748792,0.202898551,NaN,NaN,,3.781900868,0.744763829,0.252766126,0.559955606,0.500628138,1.93537461,0.364126295,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.077294686,0.024154589,0.845410628,0.120772947,NaN,NaN,,3.95507846,0.73550498,0.21927391,0.57952877,0.532441405,1.831613826,0.334721364,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.062801932,0.937198068,0.144927536,0.014492754,0.869565217,0.154589372,NaN,NaN,,5.274038828,0.725042218,0.234140719,0.557186222,0.527483264,1.880188801,0.358232794,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.009661836,0.062801932,0.927536232,0.077294686,0.024154589,0.893719807,0.048309179,2.153846154,0.431549323,1.591064607,4.402147703,0.709302702,0.329675768,0.550943279,0.520232468,1.876309488,0.262628509,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.101449275,0.898550725,0.082125604,0.053140097,0.763285024,0.130434783,NaN,NaN,,3.701574195,0.754577134,0.215740481,0.601192795,0.558385533,1.819825159,0.363045936,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.033816425,0.062801932,0.903381643,0.101449275,0.019323671,0.884057971,0.140096618,2.303370787,0.664086768,1.949390007,4.272006979,0.733780523,0.245668332,0.495824601,0.465737948,1.838366739,0.284355568,,,,,,,,,,,,,,,,,,,,
