#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,SOURCE,FORMATION,REMARKS,SYNONYMS,SIZE,
1,Phytoplankton,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,
3,Suspended organic matter,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,
105,Mollusca,Rostroconchia,Ribeirioida,Ribeiriidae,Ribeiria cf. personata,"filter/suspension feeder, sessile (rostrconchia)","Gutiérrez-Marco, herein",Lower part of the Fezouata Formation,,,12-15 mm ?,
106,Mollusca,Rostroconchia,Ribeirioida,Ribeiriidae,Ribeiria sp.,"filter/suspension feeder, sessile (rostrconchia)","Van Roy et al., 2015 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,,
119,LOBOPODIANS,-,-,-,Armoured lobopodian 1,"Predator of sponges ??? Dunne, 2008","Van Roy et al., 2015",Upper part of the Fezouata Formation (possible armoured lobopodian),Youngest occurrence,,"lobopods? Some of 9-17 mm, but maybe incomplete ?, undet. Lobopodia - ~63mm (Yale Peabody Museum)",
127,ARTHROPODA,Artiopoda,Aglaspidida,Aglaspididae,Brachyaglaspis singularis,partcle feeder,"Ortega-Hernández et al., 2016, Van Roy et al., 2015",Upper part of the Fezouata Formation,,,69.6 mm,
130,Arthropoda,Artiopoda ,-,-,Cheloniellid,"epibenthic, predator (xiphosuran-like gnathobases for masticating food) or scavenger on or a bit in the substrate (a bit like xiphosurans) (Dunlop, 2002) predator, scavenger, eats small mobile invertebrates (Braddy and Dunlop, 2021)","Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Earliest occurrence,,12 -25 mm,
137,Arthropoda,Chelicerata ? (subphylum),,Mollisoniidae,Thelxiope sp.,"epibenthic, feeding uncertain","Van Roy et al., 2015; Aria et Caron, 2019 (supp.)","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","Youngest occurrence, diet unknown",,10-40 mm (Photos Yale Peabody Museum),
148,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus duplospineus,"suspensivore, mesoplankton","Van Roy et Tetlie, 2006, Van Roy et al., 2015 ; Potin et al., 2023","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"appendage 25 mm long, spines 5.2 mm long max",
152,Arthropoda,"Malacostraca, Phyllocarida",,-,Zagoracaris fezouataensis' n.n.,feeding too uncertain,"Van Roy, 2006 ; Kröger et Lefebvre, 2012",Upper part of the Fezouata Formation,"Only mentions of the name in other articles, nothing that seems to give more info on it",,,
160,Arthropoda,Ostracoda,,-,Ostracod,"deposit feeder (martin, thesis), suspension feeder (martin, thesis), can be benthic or planktonic (brusca book)","Van Roy et al., 2015",Upper part of the Fezouata Formation ??,,,3 mm,
163,Arthropoda,-,-,Cheloniellid,Eoduslia,"benthic predator/scavenger in or on the substrate, fed on small mobile invertebrates (potential ancestor ate trilobites, brachiopods, and worms) (Dunlop, 2002 ; Brady et Dunlop, 2021) (for other species, determine if burrower of not depending on wether eyes or not (dunlop, 2002), + Cheloniellon carnivorous pcq raptorial limbs ?)",,Upper part of the Fezouata Formation,"Can't really seem to find any information on that species (Eoduslia braghimtahiri ?, Vidal1998?)",,"~ 20 mm long, ~15 mm width ?",
169,ARTHROPODA,TRILOBITA,Agnostida,Agnostidae / metagnostidae ?,Geragnostus sp.,"epibenthic, prob benthic feeder, ate algae, detritus, and microorganisms ?  Slavickova et Kraft (2001), blind ? (Turvey et Zhou, 2004), ecology hard to know because seems very varied in Agnostida (slow, detritivore)","Van Roy et al., 2015, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,9 mm,
170,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus fezouataensis ,"predator/scavenger, fast","Vidal, 1998 ; Lefebvre et al., 2016, Martin et al., 2016trilobite, Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",hypostoma with ridges ?,,67-101 mm,
172,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus tataensis,"predator/scavenger, fast , (no fork in hypostome ?, but antenna good for hunting ? Edgecombe et fortey, 2022)","Vidal, 1998 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,>70 mm (maybe around 90-100 ???),
173,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp. aff. jujuanus,"predator/scavenger, fast","Vidal, 1998 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,37-62 mm,
174,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp.,"predator, fast","Lefebvre et al., 2016 ; Laibl et al., 2023","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
175,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basiliella?) aff. destombesi,"predator/scavenger (fortey et owens, 1999)","Vidal, 1998 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,medium eyes,,330 mm,
