Cons._sp.,Resource_sp.
Platypeltoides hammondi,Rhopalocystis destombesi
Platypeltoides hammondi,Rhopalocystis fraga
Platypeltoides hammondi,Rhopalocystis grandis
Platypeltoides hammondi,Rhopalocystis havliceki
Platypeltoides hammondi,Rhopalocystis zagoraensis
Platypeltoides hammondi,Lingulocystis elongata
Platypeltoides hammondi,cf. Pareocrinus
Platypeltoides hammondi,Eocrinoidea indet. sp. 1
Platypeltoides hammondi,Eocrinoidea indet. sp. 2
Platypeltoides hammondi,Eocrinoidea indet.
Platypeltoides hammondi,Aethocrinus cf. moorei
Platypeltoides hammondi,Rhenopyrgid indet.
Platypeltoides hammondi,Amygdalotheca griffei
Platypeltoides hammondi,Anatifopsis trapeziiformis
Platypeltoides hammondi,Aspidocarpus sp.
Platypeltoides hammondi,Chauvelicystis ubaghsi
Platypeltoides hammondi,Chauvelicystis spinosa
Platypeltoides hammondi,Chauvelicystis vizcainoi
Platypeltoides hammondi,Chauvelicystis sp.
Platypeltoides hammondi,Sokkaejaecystis sp. 1
Platypeltoides hammondi,Sokkaejaecystis sp. 2
Platypeltoides hammondi,"Cornuta n. gen. 1, n. sp."
Platypeltoides hammondi,"Cornuta n. gen. 2, n. sp."
Platypeltoides hammondi,Flabellicarpus rushtoni
Platypeltoides hammondi,Galliaecystis n. sp.
Platypeltoides hammondi,Galliaecystis ubaghsi
Platypeltoides hammondi,Hanusia n. sp.
Platypeltoides hammondi,Lagynocystis pyramidalis
Platypeltoides hammondi,Nanocarpus cf. dolambii
Platypeltoides hammondi,Phyllocystis blayaci
Platypeltoides hammondi,Procothurnocystis n. sp.
Platypeltoides hammondi,Prokopicystis sp.
Platypeltoides hammondi,Bohemiaecystis n. sp.
Platypeltoides hammondi,Vizcainocarpus sp.
Platypeltoides hammondi,Peltocystis cornuta
Platypeltoides hammondi,Macrocystella bohemica
Platypeltoides hammondi,Elegantilites sp.
Platypeltoides hammondi,Gamalites? sp.
Playpeltoides carmenae,Benthic detritus
Playpeltoides carmenae,Plectorthis simplex
Playpeltoides carmenae,Angusticardinia sp.
Playpeltoides carmenae,Wosekella sp.
Playpeltoides carmenae,Celdobolus sp.
Playpeltoides carmenae,Carcassonnella sp.
Playpeltoides carmenae,Wiwaxiid
Playpeltoides carmenae,Furca sp. 1
Playpeltoides carmenae,Furca sp. 2
Playpeltoides carmenae,Furca sp. 3
Playpeltoides carmenae,Enosiaspis hrungnir
Playpeltoides carmenae,Setapedites abundantis
Playpeltoides carmenae,Tariccoia tazagurtensis
Playpeltoides carmenae,Cheloniellid
Playpeltoides carmenae,Apatokephalus cf. incisus
Playpeltoides carmenae,Orometopus sp.
Playpeltoides carmenae,Toletanaspis aff. borni
Playpeltoides carmenae,Colpocoryphe thorali
Playpeltoides carmenae,Agerina quadrata
Playpeltoides carmenae,Geragnostus aff. occitanus
Playpeltoides carmenae,Geragnostus sp.
Playpeltoides carmenae,Ampyx priscus
Playpeltoides carmenae,Parabathycheilus gallicus
Playpeltoides carmenae,Nileus deynouxi
Playpeltoides carmenae,Palaeosphaeronites sp.
Playpeltoides carmenae,Palaeosphaeronites? prokopi
Playpeltoides carmenae,Aristocystites cf. bohemicus (sinuous?)
Playpeltoides carmenae,Balantiocystis regnelli
Playpeltoides carmenae,Rhopalocystis destombesi
Playpeltoides carmenae,Rhopalocystis fraga
Playpeltoides carmenae,Rhopalocystis grandis
Playpeltoides carmenae,Rhopalocystis havliceki
Playpeltoides carmenae,Rhopalocystis zagoraensis
Playpeltoides carmenae,Lingulocystis elongata
Playpeltoides carmenae,cf. Pareocrinus
Playpeltoides carmenae,Eocrinoidea indet. sp. 1
Playpeltoides carmenae,Eocrinoidea indet. sp. 2
Playpeltoides carmenae,Eocrinoidea indet.
Playpeltoides carmenae,Aethocrinus cf. moorei
Playpeltoides carmenae,Rhenopyrgid indet.
Playpeltoides carmenae,Amygdalotheca griffei
Playpeltoides carmenae,Anatifopsis trapeziiformis
Playpeltoides carmenae,Aspidocarpus sp.
Playpeltoides carmenae,Chauvelicystis ubaghsi
Playpeltoides carmenae,Chauvelicystis spinosa
Playpeltoides carmenae,Chauvelicystis vizcainoi
Playpeltoides carmenae,Chauvelicystis sp.
Playpeltoides carmenae,Sokkaejaecystis sp. 1
Playpeltoides carmenae,Sokkaejaecystis sp. 2
Playpeltoides carmenae,"Cornuta n. gen. 1, n. sp."
Playpeltoides carmenae,"Cornuta n. gen. 2, n. sp."
Playpeltoides carmenae,Flabellicarpus rushtoni
Playpeltoides carmenae,Galliaecystis n. sp.
Playpeltoides carmenae,Galliaecystis ubaghsi
Playpeltoides carmenae,Hanusia n. sp.
Playpeltoides carmenae,Lagynocystis pyramidalis
Playpeltoides carmenae,Nanocarpus cf. dolambii
Playpeltoides carmenae,Phyllocystis blayaci
Playpeltoides carmenae,Procothurnocystis n. sp.
Playpeltoides carmenae,Prokopicystis sp.
Playpeltoides carmenae,Bohemiaecystis n. sp.
Playpeltoides carmenae,Vizcainocarpus sp.
Playpeltoides carmenae,Peltocystis cornuta
Playpeltoides carmenae,Macrocystella bohemica
Playpeltoides carmenae,"""Didymograptus sp. 1"""
Playpeltoides carmenae,Didymograptid indet.
Playpeltoides carmenae,Koremagraptus sp.
Playpeltoides carmenae,Webbyites felix
Playpeltoides carmenae,Rhabdopleura-like epibiont
Symphysurus sicardi,Benthic detritus
Symphysurus sicardi,Plectorthis simplex
Symphysurus sicardi,Angusticardinia sp.
Symphysurus sicardi,Wosekella sp.
Symphysurus sicardi,Celdobolus sp.
Symphysurus sicardi,Carcassonnella sp.
Symphysurus sicardi,Wiwaxiid
Symphysurus sicardi,Enosiaspis hrungnir
Symphysurus sicardi,Setapedites abundantis
Symphysurus sicardi,Tariccoia tazagurtensis
Symphysurus sicardi,Orometopus sp.
Symphysurus sicardi,Agerina quadrata
Symphysurus sicardi,Geragnostus aff. occitanus
Symphysurus sicardi,Geragnostus sp.
Symphysurus sicardi,Ampyx priscus
Symphysurus sicardi,Parabathycheilus gallicus
Symphysurus sicardi,Nileus deynouxi
Symphysurus sicardi,Palaeosphaeronites sp.
Symphysurus sicardi,Palaeosphaeronites? prokopi
Symphysurus sicardi,Aristocystites cf. bohemicus (sinuous?)
Symphysurus sicardi,Balantiocystis regnelli
Symphysurus sicardi,Rhopalocystis destombesi
Symphysurus sicardi,Rhopalocystis fraga
Symphysurus sicardi,Rhopalocystis grandis
Symphysurus sicardi,Rhopalocystis havliceki
Symphysurus sicardi,Rhopalocystis zagoraensis
Symphysurus sicardi,Lingulocystis elongata
Symphysurus sicardi,cf. Pareocrinus
Symphysurus sicardi,Eocrinoidea indet. sp. 1
Symphysurus sicardi,Eocrinoidea indet. sp. 2
Symphysurus sicardi,Eocrinoidea indet.
Symphysurus sicardi,Aethocrinus cf. moorei
Symphysurus sicardi,Rhenopyrgid indet.
Symphysurus sicardi,Amygdalotheca griffei
Symphysurus sicardi,Anatifopsis trapeziiformis
Symphysurus sicardi,Aspidocarpus sp.
Symphysurus sicardi,Chauvelicystis ubaghsi
Symphysurus sicardi,Chauvelicystis spinosa
Symphysurus sicardi,Chauvelicystis vizcainoi
Symphysurus sicardi,Chauvelicystis sp.
Symphysurus sicardi,Sokkaejaecystis sp. 1
Symphysurus sicardi,Sokkaejaecystis sp. 2
Symphysurus sicardi,"Cornuta n. gen. 1, n. sp."
Symphysurus sicardi,"Cornuta n. gen. 2, n. sp."
Symphysurus sicardi,Flabellicarpus rushtoni
Symphysurus sicardi,Galliaecystis n. sp.
Symphysurus sicardi,Galliaecystis ubaghsi
Symphysurus sicardi,Lagynocystis pyramidalis
Symphysurus sicardi,Nanocarpus cf. dolambii
Symphysurus sicardi,Phyllocystis blayaci
Symphysurus sicardi,Procothurnocystis n. sp.
Symphysurus sicardi,Prokopicystis sp.
Symphysurus sicardi,Vizcainocarpus sp.
Symphysurus sicardi,Peltocystis cornuta
Symphysurus sicardi,Macrocystella bohemica
Symphysurus sicardi,"""Didymograptus sp. 1"""
Symphysurus sicardi,Didymograptid indet.
Symphysurus sicardi,Koremagraptus sp.
Symphysurus sicardi,Webbyites felix
Symphysurus sicardi,Rhabdopleura-like epibiont
Symphysurus ebbestadi,Benthic detritus
Symphysurus ebbestadi,Plectorthis simplex
Symphysurus ebbestadi,Angusticardinia sp.
Symphysurus ebbestadi,Wosekella sp.
Symphysurus ebbestadi,Celdobolus sp.
Symphysurus ebbestadi,Carcassonnella sp.
Symphysurus ebbestadi,Wiwaxiid
Symphysurus ebbestadi,Enosiaspis hrungnir
Symphysurus ebbestadi,Setapedites abundantis
Symphysurus ebbestadi,Tariccoia tazagurtensis
Symphysurus ebbestadi,Orometopus sp.
Symphysurus ebbestadi,Agerina quadrata
Symphysurus ebbestadi,Geragnostus aff. occitanus
Symphysurus ebbestadi,Geragnostus sp.
Symphysurus ebbestadi,Ampyx priscus
Symphysurus ebbestadi,Parabathycheilus gallicus
Symphysurus ebbestadi,Nileus deynouxi
Symphysurus ebbestadi,Palaeosphaeronites sp.
Symphysurus ebbestadi,Palaeosphaeronites? prokopi
Symphysurus ebbestadi,Aristocystites cf. bohemicus (sinuous?)
Symphysurus ebbestadi,Balantiocystis regnelli
Symphysurus ebbestadi,Rhopalocystis destombesi
Symphysurus ebbestadi,Rhopalocystis fraga
Symphysurus ebbestadi,Rhopalocystis grandis
Symphysurus ebbestadi,Rhopalocystis havliceki
Symphysurus ebbestadi,Rhopalocystis zagoraensis
Symphysurus ebbestadi,Lingulocystis elongata
Symphysurus ebbestadi,cf. Pareocrinus
Symphysurus ebbestadi,Eocrinoidea indet. sp. 1
Symphysurus ebbestadi,Eocrinoidea indet. sp. 2
Symphysurus ebbestadi,Eocrinoidea indet.
Symphysurus ebbestadi,Aethocrinus cf. moorei
Symphysurus ebbestadi,Rhenopyrgid indet.
Symphysurus ebbestadi,Amygdalotheca griffei
Symphysurus ebbestadi,Anatifopsis trapeziiformis
Symphysurus ebbestadi,Aspidocarpus sp.
Symphysurus ebbestadi,Chauvelicystis ubaghsi
Symphysurus ebbestadi,Chauvelicystis spinosa
Symphysurus ebbestadi,Chauvelicystis vizcainoi
Symphysurus ebbestadi,Chauvelicystis sp.
Symphysurus ebbestadi,Sokkaejaecystis sp. 1
Symphysurus ebbestadi,Sokkaejaecystis sp. 2
Symphysurus ebbestadi,"Cornuta n. gen. 1, n. sp."
Symphysurus ebbestadi,"Cornuta n. gen. 2, n. sp."
Symphysurus ebbestadi,Flabellicarpus rushtoni
Symphysurus ebbestadi,Galliaecystis n. sp.
Symphysurus ebbestadi,Galliaecystis ubaghsi
Symphysurus ebbestadi,Lagynocystis pyramidalis
Symphysurus ebbestadi,Nanocarpus cf. dolambii
Symphysurus ebbestadi,Phyllocystis blayaci
Symphysurus ebbestadi,Procothurnocystis n. sp.
Symphysurus ebbestadi,Prokopicystis sp.
Symphysurus ebbestadi,Vizcainocarpus sp.
Symphysurus ebbestadi,Peltocystis cornuta
Symphysurus ebbestadi,Macrocystella bohemica
Symphysurus ebbestadi,"""Didymograptus sp. 1"""
Symphysurus ebbestadi,Didymograptid indet.
Symphysurus ebbestadi,Koremagraptus sp.
Symphysurus ebbestadi,Webbyites felix
Symphysurus ebbestadi,Rhabdopleura-like epibiont
Symphysurus sp.,Benthic detritus
Symphysurus sp.,Plectorthis simplex
Symphysurus sp.,Angusticardinia sp.
Symphysurus sp.,Wosekella sp.
Symphysurus sp.,Celdobolus sp.
Symphysurus sp.,Carcassonnella sp.
Symphysurus sp.,Wiwaxiid
Symphysurus sp.,Furca sp. 1
Symphysurus sp.,Furca sp. 2
Symphysurus sp.,Furca sp. 3
Symphysurus sp.,Enosiaspis hrungnir
Symphysurus sp.,Setapedites abundantis
Symphysurus sp.,Tariccoia tazagurtensis
Symphysurus sp.,Cheloniellid
Symphysurus sp.,Apatokephalus cf. incisus
Symphysurus sp.,Orometopus sp.
Symphysurus sp.,Toletanaspis aff. borni
Symphysurus sp.,Colpocoryphe thorali
Symphysurus sp.,Agerina quadrata
Symphysurus sp.,Geragnostus aff. occitanus
Symphysurus sp.,Geragnostus sp.
Symphysurus sp.,Ampyx priscus
Symphysurus sp.,Parabathycheilus gallicus
Symphysurus sp.,Nileus deynouxi
Symphysurus sp.,Palaeosphaeronites sp.
Symphysurus sp.,Palaeosphaeronites? prokopi
Symphysurus sp.,Aristocystites cf. bohemicus (sinuous?)
Symphysurus sp.,Balantiocystis regnelli
Symphysurus sp.,Rhopalocystis destombesi
Symphysurus sp.,Rhopalocystis fraga
Symphysurus sp.,Rhopalocystis grandis
Symphysurus sp.,Rhopalocystis havliceki
Symphysurus sp.,Rhopalocystis zagoraensis
Symphysurus sp.,Lingulocystis elongata
Symphysurus sp.,cf. Pareocrinus
Symphysurus sp.,Eocrinoidea indet. sp. 1
Symphysurus sp.,Eocrinoidea indet. sp. 2
Symphysurus sp.,Eocrinoidea indet.
Symphysurus sp.,Aethocrinus cf. moorei
Symphysurus sp.,Rhenopyrgid indet.
Symphysurus sp.,Amygdalotheca griffei
Symphysurus sp.,Anatifopsis trapeziiformis
Symphysurus sp.,Aspidocarpus sp.
Symphysurus sp.,Chauvelicystis ubaghsi
Symphysurus sp.,Chauvelicystis spinosa
Symphysurus sp.,Chauvelicystis vizcainoi
Symphysurus sp.,Chauvelicystis sp.
Symphysurus sp.,Sokkaejaecystis sp. 1
Symphysurus sp.,Sokkaejaecystis sp. 2
Symphysurus sp.,"Cornuta n. gen. 1, n. sp."
Symphysurus sp.,"Cornuta n. gen. 2, n. sp."
Symphysurus sp.,Flabellicarpus rushtoni
Symphysurus sp.,Galliaecystis n. sp.
Symphysurus sp.,Galliaecystis ubaghsi
Symphysurus sp.,Hanusia n. sp.
Symphysurus sp.,Lagynocystis pyramidalis
Symphysurus sp.,Nanocarpus cf. dolambii
Symphysurus sp.,Phyllocystis blayaci
Symphysurus sp.,Procothurnocystis n. sp.
Symphysurus sp.,Prokopicystis sp.
Symphysurus sp.,Bohemiaecystis n. sp.
Symphysurus sp.,Vizcainocarpus sp.
Symphysurus sp.,Peltocystis cornuta
Symphysurus sp.,Macrocystella bohemica
Symphysurus sp.,"""Didymograptus sp. 1"""
Symphysurus sp.,Didymograptid indet.
Symphysurus sp.,Koremagraptus sp.
Symphysurus sp.,Webbyites felix
Symphysurus sp.,Rhabdopleura-like epibiont
Apatokephalus cf. incisus,Benthic detritus
Apatokephalus cf. incisus,Plectorthis simplex
Apatokephalus cf. incisus,Angusticardinia sp.
Apatokephalus cf. incisus,Celdobolus sp.
Apatokephalus cf. incisus,Carcassonnella sp.
Apatokephalus cf. incisus,Wiwaxiid
Apatokephalus cf. incisus,Enosiaspis hrungnir
Apatokephalus cf. incisus,Setapedites abundantis
Apatokephalus cf. incisus,Tariccoia tazagurtensis
Apatokephalus cf. incisus,Parabathycheilus gallicus
Apatokephalus cf. incisus,Palaeosphaeronites sp.
Apatokephalus cf. incisus,Palaeosphaeronites? prokopi
Apatokephalus cf. incisus,Aristocystites cf. bohemicus (sinuous?)
Apatokephalus cf. incisus,Balantiocystis regnelli
Apatokephalus cf. incisus,Rhopalocystis destombesi
Apatokephalus cf. incisus,Rhopalocystis fraga
Apatokephalus cf. incisus,Rhopalocystis grandis
Apatokephalus cf. incisus,Rhopalocystis havliceki
Apatokephalus cf. incisus,Rhopalocystis zagoraensis
Apatokephalus cf. incisus,Lingulocystis elongata
Apatokephalus cf. incisus,cf. Pareocrinus
Apatokephalus cf. incisus,Eocrinoidea indet. sp. 1
Apatokephalus cf. incisus,Eocrinoidea indet. sp. 2
Apatokephalus cf. incisus,Eocrinoidea indet.
Apatokephalus cf. incisus,Aethocrinus cf. moorei
Apatokephalus cf. incisus,Rhenopyrgid indet.
Apatokephalus cf. incisus,Amygdalotheca griffei
Apatokephalus cf. incisus,Anatifopsis trapeziiformis
Apatokephalus cf. incisus,Aspidocarpus sp.
Apatokephalus cf. incisus,Chauvelicystis ubaghsi
Apatokephalus cf. incisus,Chauvelicystis spinosa
Apatokephalus cf. incisus,Chauvelicystis vizcainoi
Apatokephalus cf. incisus,Chauvelicystis sp.
Apatokephalus cf. incisus,Sokkaejaecystis sp. 1
Apatokephalus cf. incisus,Sokkaejaecystis sp. 2
Apatokephalus cf. incisus,"Cornuta n. gen. 2, n. sp."
Apatokephalus cf. incisus,Flabellicarpus rushtoni
Apatokephalus cf. incisus,Galliaecystis n. sp.
Apatokephalus cf. incisus,Galliaecystis ubaghsi
Apatokephalus cf. incisus,Lagynocystis pyramidalis
Apatokephalus cf. incisus,Nanocarpus cf. dolambii
Apatokephalus cf. incisus,Phyllocystis blayaci
Apatokephalus cf. incisus,Procothurnocystis n. sp.
Apatokephalus cf. incisus,Prokopicystis sp.
Apatokephalus cf. incisus,Vizcainocarpus sp.
Apatokephalus cf. incisus,Peltocystis cornuta
Apatokephalus cf. incisus,Macrocystella bohemica
Apatokephalus cf. incisus,"""Didymograptus sp. 1"""
Apatokephalus cf. incisus,Didymograptid indet.
Apatokephalus cf. incisus,Koremagraptus sp.
Apatokephalus cf. incisus,Webbyites felix
Apatokephalus cf. incisus,Rhabdopleura-like epibiont
Dikelokephalina brenchleyi,Benthic detritus
Dikelokephalina brenchleyi,Plectorthis simplex
Dikelokephalina brenchleyi,Angusticardinia sp.
Dikelokephalina brenchleyi,Wosekella sp.
Dikelokephalina brenchleyi,Celdobolus sp.
Dikelokephalina brenchleyi,Wiwaxiid
Dikelokephalina brenchleyi,Calvapilosa kroegeri
Dikelokephalina brenchleyi,Plumulites bengtsoni
Dikelokephalina brenchleyi,Large plumulitid
Dikelokephalina brenchleyi,Palaeoscolex cf. tenensis
Dikelokephalina brenchleyi,Villebrunaster fezouataensis
Dikelokephalina brenchleyi,Palaeosphaeronites sp.
Dikelokephalina brenchleyi,Palaeosphaeronites? prokopi
Dikelokephalina brenchleyi,Aristocystites cf. bohemicus (sinuous?)
Dikelokephalina brenchleyi,Balantiocystis regnelli
Dikelokephalina brenchleyi,Rhopalocystis destombesi
Dikelokephalina brenchleyi,Rhopalocystis fraga
Dikelokephalina brenchleyi,Rhopalocystis grandis
Dikelokephalina brenchleyi,Rhopalocystis havliceki
Dikelokephalina brenchleyi,Rhopalocystis zagoraensis
Dikelokephalina brenchleyi,Lingulocystis elongata
Dikelokephalina brenchleyi,cf. Pareocrinus
Dikelokephalina brenchleyi,Eocrinoidea indet. sp. 1
Dikelokephalina brenchleyi,Eocrinoidea indet. sp. 2
Dikelokephalina brenchleyi,Eocrinoidea indet.
Dikelokephalina brenchleyi,Aethocrinus cf. moorei
Dikelokephalina brenchleyi,Rhenopyrgid indet.
Dikelokephalina brenchleyi,Amygdalotheca griffei
Dikelokephalina brenchleyi,Anatifopsis trapeziiformis
Dikelokephalina brenchleyi,Aspidocarpus sp.
Dikelokephalina brenchleyi,Chauvelicystis ubaghsi
Dikelokephalina brenchleyi,Chauvelicystis spinosa
Dikelokephalina brenchleyi,Chauvelicystis vizcainoi
Dikelokephalina brenchleyi,Chauvelicystis sp.
Dikelokephalina brenchleyi,Sokkaejaecystis sp. 1
Dikelokephalina brenchleyi,Sokkaejaecystis sp. 2
Dikelokephalina brenchleyi,"Cornuta n. gen. 1, n. sp."
Dikelokephalina brenchleyi,"Cornuta n. gen. 2, n. sp."
Dikelokephalina brenchleyi,Flabellicarpus rushtoni
Dikelokephalina brenchleyi,Galliaecystis n. sp.
Dikelokephalina brenchleyi,Galliaecystis ubaghsi
Dikelokephalina brenchleyi,Hanusia n. sp.
Dikelokephalina brenchleyi,Lagynocystis pyramidalis
Dikelokephalina brenchleyi,Nanocarpus cf. dolambii
Dikelokephalina brenchleyi,Phyllocystis blayaci
Dikelokephalina brenchleyi,Procothurnocystis n. sp.
Dikelokephalina brenchleyi,Prokopicystis sp.
Dikelokephalina brenchleyi,Bohemiaecystis n. sp.
Dikelokephalina brenchleyi,Vizcainocarpus sp.
Dikelokephalina brenchleyi,Macrocystella bohemica
Dikelokephalina brenchleyi,Plasiacystis mobilis
Dikelokephalina brenchleyi,Elegantilites sp.
Dikelokephalina brenchleyi,Gamalites? sp.
Orometopus sp.,suspended organic matter
Orometopus sp.,Benthic detritus
Lichakephalus stubbsi,Benthic detritus
Lichakephalus stubbsi,Plectorthis simplex
Lichakephalus stubbsi,Angusticardinia sp.
Lichakephalus stubbsi,Wosekella sp.
Lichakephalus stubbsi,Celdobolus sp.
Lichakephalus stubbsi,Wiwaxiid
Lichakephalus stubbsi,Calvapilosa kroegeri
Lichakephalus stubbsi,Plumulites bengtsoni
Lichakephalus stubbsi,Large plumulitid
Lichakephalus stubbsi,Palaeoscolex cf. tenensis
Lichakephalus stubbsi,Villebrunaster fezouataensis
Lichakephalus stubbsi,Palaeosphaeronites sp.
Lichakephalus stubbsi,Palaeosphaeronites? prokopi
Lichakephalus stubbsi,Aristocystites cf. bohemicus (sinuous?)
Lichakephalus stubbsi,Balantiocystis regnelli
Lichakephalus stubbsi,Rhopalocystis destombesi
Lichakephalus stubbsi,Rhopalocystis fraga
Lichakephalus stubbsi,Rhopalocystis grandis
Lichakephalus stubbsi,Rhopalocystis havliceki
Lichakephalus stubbsi,Rhopalocystis zagoraensis
Lichakephalus stubbsi,Lingulocystis elongata
Lichakephalus stubbsi,cf. Pareocrinus
Lichakephalus stubbsi,Eocrinoidea indet. sp. 1
Lichakephalus stubbsi,Eocrinoidea indet. sp. 2
Lichakephalus stubbsi,Eocrinoidea indet.
Lichakephalus stubbsi,Aethocrinus cf. moorei
Lichakephalus stubbsi,Rhenopyrgid indet.
Lichakephalus stubbsi,Amygdalotheca griffei
Lichakephalus stubbsi,Anatifopsis trapeziiformis
Lichakephalus stubbsi,Aspidocarpus sp.
Lichakephalus stubbsi,Chauvelicystis ubaghsi
Lichakephalus stubbsi,Chauvelicystis spinosa
Lichakephalus stubbsi,Chauvelicystis vizcainoi
Lichakephalus stubbsi,Chauvelicystis sp.
Lichakephalus stubbsi,Sokkaejaecystis sp. 1
Lichakephalus stubbsi,Sokkaejaecystis sp. 2
Lichakephalus stubbsi,"Cornuta n. gen. 1, n. sp."
Lichakephalus stubbsi,"Cornuta n. gen. 2, n. sp."
Lichakephalus stubbsi,Flabellicarpus rushtoni
Lichakephalus stubbsi,Galliaecystis n. sp.
Lichakephalus stubbsi,Galliaecystis ubaghsi
Lichakephalus stubbsi,Hanusia n. sp.
Lichakephalus stubbsi,Lagynocystis pyramidalis
Lichakephalus stubbsi,Nanocarpus cf. dolambii
Lichakephalus stubbsi,Phyllocystis blayaci
Lichakephalus stubbsi,Procothurnocystis n. sp.
Lichakephalus stubbsi,Prokopicystis sp.
Lichakephalus stubbsi,Bohemiaecystis n. sp.
Lichakephalus stubbsi,Vizcainocarpus sp.
Lichakephalus stubbsi,Macrocystella bohemica
Lichakephalus stubbsi,Plasiacystis mobilis
Lichakephalus stubbsi,Elegantilites sp.
Lichakephalus stubbsi,Gamalites? sp.
Foulonia peregrina,Benthic detritus
Foulonia peregrina,Plectorthis simplex
Foulonia peregrina,Angusticardinia sp.
Foulonia peregrina,Celdobolus sp.
Foulonia peregrina,Carcassonnella sp.
Foulonia peregrina,Wiwaxiid
Foulonia peregrina,Enosiaspis hrungnir
Foulonia peregrina,Setapedites abundantis
Foulonia peregrina,Tariccoia tazagurtensis
Foulonia peregrina,Parabathycheilus gallicus
Foulonia peregrina,Palaeosphaeronites sp.
Foulonia peregrina,Palaeosphaeronites? prokopi
Foulonia peregrina,Aristocystites cf. bohemicus (sinuous?)
Foulonia peregrina,Balantiocystis regnelli
Foulonia peregrina,Rhopalocystis destombesi
Foulonia peregrina,Rhopalocystis fraga
Foulonia peregrina,Rhopalocystis grandis
Foulonia peregrina,Rhopalocystis havliceki
Foulonia peregrina,Rhopalocystis zagoraensis
Foulonia peregrina,Lingulocystis elongata
Foulonia peregrina,cf. Pareocrinus
Foulonia peregrina,Eocrinoidea indet. sp. 1
Foulonia peregrina,Eocrinoidea indet. sp. 2
Foulonia peregrina,Eocrinoidea indet.
Foulonia peregrina,Aethocrinus cf. moorei
Foulonia peregrina,Rhenopyrgid indet.
Foulonia peregrina,Amygdalotheca griffei
Foulonia peregrina,Anatifopsis trapeziiformis
Foulonia peregrina,Aspidocarpus sp.
Foulonia peregrina,Chauvelicystis ubaghsi
Foulonia peregrina,Chauvelicystis spinosa
Foulonia peregrina,Chauvelicystis vizcainoi
Foulonia peregrina,Chauvelicystis sp.
Foulonia peregrina,Sokkaejaecystis sp. 1
Foulonia peregrina,Sokkaejaecystis sp. 2
Foulonia peregrina,"Cornuta n. gen. 1, n. sp."
Foulonia peregrina,"Cornuta n. gen. 2, n. sp."
Foulonia peregrina,Flabellicarpus rushtoni
Foulonia peregrina,Galliaecystis n. sp.
Foulonia peregrina,Galliaecystis ubaghsi
Foulonia peregrina,Lagynocystis pyramidalis
Foulonia peregrina,Nanocarpus cf. dolambii
Foulonia peregrina,Phyllocystis blayaci
Foulonia peregrina,Procothurnocystis n. sp.
Foulonia peregrina,Prokopicystis sp.
Foulonia peregrina,Vizcainocarpus sp.
Foulonia peregrina,Peltocystis cornuta
Foulonia peregrina,Macrocystella bohemica
Foulonia peregrina,"""Didymograptus sp. 1"""
Foulonia peregrina,Didymograptid indet.
Foulonia peregrina,Koremagraptus sp.
Foulonia peregrina,Webbyites felix
Foulonia peregrina,Rhabdopleura-like epibiont
Foulonia sp.,Benthic detritus
Foulonia sp.,Plectorthis simplex
Foulonia sp.,Angusticardinia sp.
Foulonia sp.,Celdobolus sp.
Foulonia sp.,Carcassonnella sp.
Foulonia sp.,Wiwaxiid
Foulonia sp.,Enosiaspis hrungnir
Foulonia sp.,Setapedites abundantis
Foulonia sp.,Tariccoia tazagurtensis
Foulonia sp.,Parabathycheilus gallicus
Foulonia sp.,Palaeosphaeronites sp.
Foulonia sp.,Palaeosphaeronites? prokopi
Foulonia sp.,Aristocystites cf. bohemicus (sinuous?)
Foulonia sp.,Balantiocystis regnelli
Foulonia sp.,Rhopalocystis destombesi
Foulonia sp.,Rhopalocystis fraga
Foulonia sp.,Rhopalocystis grandis
Foulonia sp.,Rhopalocystis havliceki
Foulonia sp.,Rhopalocystis zagoraensis
Foulonia sp.,Lingulocystis elongata
Foulonia sp.,cf. Pareocrinus
Foulonia sp.,Eocrinoidea indet. sp. 1
Foulonia sp.,Eocrinoidea indet. sp. 2
Foulonia sp.,Eocrinoidea indet.
Foulonia sp.,Aethocrinus cf. moorei
Foulonia sp.,Rhenopyrgid indet.
Foulonia sp.,Amygdalotheca griffei
Foulonia sp.,Anatifopsis trapeziiformis
Foulonia sp.,Aspidocarpus sp.
Foulonia sp.,Chauvelicystis ubaghsi
Foulonia sp.,Chauvelicystis spinosa
Foulonia sp.,Chauvelicystis vizcainoi
Foulonia sp.,Chauvelicystis sp.
Foulonia sp.,Sokkaejaecystis sp. 1
Foulonia sp.,Sokkaejaecystis sp. 2
Foulonia sp.,"Cornuta n. gen. 1, n. sp."
Foulonia sp.,"Cornuta n. gen. 2, n. sp."
Foulonia sp.,Flabellicarpus rushtoni
Foulonia sp.,Galliaecystis n. sp.
Foulonia sp.,Galliaecystis ubaghsi
Foulonia sp.,Lagynocystis pyramidalis
Foulonia sp.,Nanocarpus cf. dolambii
Foulonia sp.,Phyllocystis blayaci
Foulonia sp.,Procothurnocystis n. sp.
Foulonia sp.,Prokopicystis sp.
Foulonia sp.,Vizcainocarpus sp.
Foulonia sp.,Peltocystis cornuta
Foulonia sp.,Macrocystella bohemica
Foulonia sp.,"""Didymograptus sp. 1"""
Foulonia sp.,Didymograptid indet.
Foulonia sp.,Koremagraptus sp.
Foulonia sp.,Webbyites felix
Foulonia sp.,Rhabdopleura-like epibiont
Parapilekia olesnaensis,Benthic detritus
