Cons._sp.,Resource_sp.
Pseudoangustidontus sp.,Paradelograptus tenuis
Pseudoangustidontus sp.,Paratemnograptus magnificus
Pseudoangustidontus sp., 'Tetragraptus' bulmani
Pseudoangustidontus sp.,Tetragraptus sp. (3-stiped)
Pseudoangustidontus sp.,Sagenograptus murrayi
Pseudoangustidontus sp.,Anisograptus cf. matanensis
Pseudoangustidontus sp.,Bryograptus divergens
Pseudoangustidontus sp.,Bryograptus kjerulfi cumbrensis
Pseudoangustidontus sp.,Bryograptus lapworthi
Pseudoangustidontus sp.,Rhabdinopora flabelliforme cf. anglica
Pseudoangustidontus sp.,Rhabdinopora flabelliforme flabelliforme
Pseudoangustidontus sp.,Rhabdinopora flabelliforme multithecatum
Pseudoangustidontus sp.,Rhabdinopora flabelliformis socialis
Pseudoangustidontus sp.,Rhabdinopora flabelliformis canadenisis
Pseudoangustidontus sp.,Rhabdinopora flabelliforme norvegicum
Pseudoangustidontus sp.,Adelograptus tenellus
Pseudoangustidontus sp.,Choristograptus louai
Pseudoangustidontus sp.,Ancoragraptus bulmani
Asaphellus stubbsi,Benthic detritus
Asaphellus stubbsi,Plectorthis simplex
Asaphellus stubbsi,Angusticardinia sp.
Asaphellus stubbsi,Celdobolus sp.
Asaphellus stubbsi,Wiwaxiid
Asaphellus stubbsi,Calvapilosa kroegeri
Asaphellus stubbsi,Plumulites bengtsoni
Asaphellus stubbsi,Large plumulitid
Asaphellus stubbsi,Palaeoscolex cf. tenensis
Asaphellus stubbsi,Furca sp. 1
Asaphellus stubbsi,Furca sp. 2
Asaphellus stubbsi,Furca sp. 3
Asaphellus stubbsi,Enosiaspis hrungnir
Asaphellus stubbsi,Xiphosurid
Asaphellus stubbsi,Tremaglaspis sp.
Asaphellus stubbsi,Cheloniellid
Asaphellus stubbsi,Asaphellus fezouataensis 
Asaphellus stubbsi,Asaphellus sp aff. jujuanus
Asaphellus stubbsi,Asaphellus tataensis
Asaphellus stubbsi,Asaphellus sp.
Asaphellus stubbsi,Playpeltoides carmenae
Asaphellus stubbsi,Symphysurus sicardi
Asaphellus stubbsi,Symphysurus ebbestadi
Asaphellus stubbsi,Symphysurus sp.
Asaphellus stubbsi,Apatokephalus cf. incisus
Asaphellus stubbsi,Foulonia peregrina
Asaphellus stubbsi,Foulonia sp.
Asaphellus stubbsi,Toletanaspis aff. borni
Asaphellus stubbsi,Bavarilla zemmourensis
Asaphellus stubbsi,Bavarilla sp.
Asaphellus stubbsi,Colpocoryphe thorali
Asaphellus stubbsi,Colpocoryphe pradesensis
Asaphellus stubbsi,Colpocoryphe sp.
Asaphellus stubbsi,Pharostomina sp. 
Asaphellus stubbsi,Prionocheilus sp.
Asaphellus stubbsi,Euloma sp.
Asaphellus stubbsi,Beltella sp.
Asaphellus stubbsi,Ampyx priscus
Asaphellus stubbsi,Megistaspis (Ekeraspis) sp. indet.
Asaphellus stubbsi,Neseuretus cf. attenuatus
Asaphellus stubbsi,Parabathycheilus gallicus
Asaphellus stubbsi,Anacheirurus adserai
Asaphellus stubbsi,Eoharpes sp.
Asaphellus stubbsi,Villebrunaster fezouataensis
Asaphellus stubbsi,Palaeosphaeronites sp.
Asaphellus stubbsi,Palaeosphaeronites? prokopi
Asaphellus stubbsi,Aristocystites cf. bohemicus (sinuous?)
Asaphellus stubbsi,Balantiocystis regnelli
Asaphellus stubbsi,Rhopalocystis destombesi
Asaphellus stubbsi,Rhopalocystis fraga
Asaphellus stubbsi,Rhopalocystis grandis
Asaphellus stubbsi,Rhopalocystis havliceki
Asaphellus stubbsi,Rhopalocystis zagoraensis
Asaphellus stubbsi,Lingulocystis elongata
Asaphellus stubbsi,cf. Pareocrinus
Asaphellus stubbsi,Eocrinoidea indet. sp. 1
Asaphellus stubbsi,Eocrinoidea indet. sp. 2
Asaphellus stubbsi,Eocrinoidea indet.
Asaphellus stubbsi,Aethocrinus cf. moorei
Asaphellus stubbsi,Rhenopyrgid indet.
Asaphellus stubbsi,Amygdalotheca griffei
Asaphellus stubbsi,Anatifopsis trapeziiformis
Asaphellus stubbsi,Aspidocarpus sp.
Asaphellus stubbsi,Chauvelicystis ubaghsi
Asaphellus stubbsi,Chauvelicystis spinosa
Asaphellus stubbsi,Chauvelicystis vizcainoi
Asaphellus stubbsi,Chauvelicystis sp.
Asaphellus stubbsi,Sokkaejaecystis sp. 1
Asaphellus stubbsi,Sokkaejaecystis sp. 2
Asaphellus stubbsi,"Cornuta n. gen. 1, n. sp."
Asaphellus stubbsi,"Cornuta n. gen. 2, n. sp."
Asaphellus stubbsi,Flabellicarpus rushtoni
Asaphellus stubbsi,Galliaecystis n. sp.
Asaphellus stubbsi,Galliaecystis ubaghsi
Asaphellus stubbsi,Hanusia n. sp.
Asaphellus stubbsi,Lagynocystis pyramidalis
Asaphellus stubbsi,Nanocarpus cf. dolambii
Asaphellus stubbsi,Phyllocystis blayaci
Asaphellus stubbsi,Procothurnocystis n. sp.
Asaphellus stubbsi,Prokopicystis sp.
Asaphellus stubbsi,Bohemiaecystis n. sp.
Asaphellus stubbsi,Vizcainocarpus sp.
Asaphellus stubbsi,Macrocystella bohemica
Asaphellus stubbsi,cf. Castericystis
Asaphellus stubbsi,Plasiacystis mobilis
Asaphellus stubbsi,Nimchacystis agterbosi
Asaphellus stubbsi,Cavernolites senex
Asaphellus stubbsi,Elegantilites sp.
Asaphellus stubbsi,Gamalites? sp.
Asaphellus cuervoae,Benthic detritus
Asaphellus cuervoae,Plectorthis simplex
Asaphellus cuervoae,Angusticardinia sp.
Asaphellus cuervoae,Wosekella sp.
Asaphellus cuervoae,Celdobolus sp.
Asaphellus cuervoae,Carcassonnella sp.
Asaphellus cuervoae,Wiwaxiid
Asaphellus cuervoae,Calvapilosa kroegeri
Asaphellus cuervoae,Palaeoscolex cf. tenensis
Asaphellus cuervoae,Furca sp. 1
Asaphellus cuervoae,Furca sp. 2
Asaphellus cuervoae,Furca sp. 3
Asaphellus cuervoae,Enosiaspis hrungnir
Asaphellus cuervoae,Setapedites abundantis
Asaphellus cuervoae,Tariccoia tazagurtensis
Asaphellus cuervoae,Cheloniellid
Asaphellus cuervoae,Apatokephalus cf. incisus
Asaphellus cuervoae,Orometopus sp.
Asaphellus cuervoae,Foulonia peregrina
Asaphellus cuervoae,Foulonia sp.
Asaphellus cuervoae,Toletanaspis aff. borni
Asaphellus cuervoae,Bavarilla zemmourensis
Asaphellus cuervoae,Bavarilla sp.
Asaphellus cuervoae,Colpocoryphe thorali
Asaphellus cuervoae,Colpocoryphe pradesensis
Asaphellus cuervoae,Pharostomina sp. 
Asaphellus cuervoae,Agerina quadrata
Asaphellus cuervoae,Geragnostus aff. occitanus
Asaphellus cuervoae,Geragnostus sp.
Asaphellus cuervoae,Beltella sp.
Asaphellus cuervoae,Ampyx priscus
Asaphellus cuervoae,Parabathycheilus gallicus
Asaphellus cuervoae,Eoharpes sp.
Asaphellus cuervoae,Nileus deynouxi
Asaphellus cuervoae,Palaeosphaeronites sp.
Asaphellus cuervoae,Palaeosphaeronites? prokopi
Asaphellus cuervoae,Aristocystites cf. bohemicus (sinuous?)
Asaphellus cuervoae,Balantiocystis regnelli
Asaphellus cuervoae,Rhopalocystis destombesi
Asaphellus cuervoae,Rhopalocystis fraga
Asaphellus cuervoae,Rhopalocystis grandis
Asaphellus cuervoae,Rhopalocystis havliceki
Asaphellus cuervoae,Rhopalocystis zagoraensis
Asaphellus cuervoae,Lingulocystis elongata
Asaphellus cuervoae,cf. Pareocrinus
Asaphellus cuervoae,Eocrinoidea indet. sp. 1
Asaphellus cuervoae,Eocrinoidea indet. sp. 2
Asaphellus cuervoae,Eocrinoidea indet.
Asaphellus cuervoae,Aethocrinus cf. moorei
Asaphellus cuervoae,Rhenopyrgid indet.
Asaphellus cuervoae,Amygdalotheca griffei
Asaphellus cuervoae,Anatifopsis trapeziiformis
Asaphellus cuervoae,Aspidocarpus sp.
Asaphellus cuervoae,Chauvelicystis ubaghsi
Asaphellus cuervoae,Chauvelicystis spinosa
Asaphellus cuervoae,Chauvelicystis vizcainoi
Asaphellus cuervoae,Chauvelicystis sp.
Asaphellus cuervoae,Sokkaejaecystis sp. 1
Asaphellus cuervoae,Sokkaejaecystis sp. 2
Asaphellus cuervoae,"Cornuta n. gen. 1, n. sp."
Asaphellus cuervoae,"Cornuta n. gen. 2, n. sp."
Asaphellus cuervoae,Flabellicarpus rushtoni
Asaphellus cuervoae,Galliaecystis n. sp.
Asaphellus cuervoae,Galliaecystis ubaghsi
Asaphellus cuervoae,Hanusia n. sp.
Asaphellus cuervoae,Lagynocystis pyramidalis
Asaphellus cuervoae,Nanocarpus cf. dolambii
Asaphellus cuervoae,Phyllocystis blayaci
Asaphellus cuervoae,Procothurnocystis n. sp.
Asaphellus cuervoae,Prokopicystis sp.
Asaphellus cuervoae,Bohemiaecystis n. sp.
Asaphellus cuervoae,Vizcainocarpus sp.
