Cons._sp.,Resource_sp.,Certainty level
Plumulites bengtsoni,Carcassonnella sp.,1
Plumulites bengtsoni,Large plumulitid,1
Plumulites bengtsoni,Setapedites abundantis,1
Plumulites bengtsoni,Orometopus sp.,1
Plumulites bengtsoni,Kiaerograptus'? sp. (slightly deflexed),1
Plumulites bengtsoni,Webbyites felix,1
Large plumulitid,Benthic detritus,1
Large plumulitid,Carcassonnella sp.,1
Large plumulitid,Ribeiria cf. personata,1
Large plumulitid,Plumulites bengtsoni,1
Large plumulitid,Enosiaspis hrungnir,1
Large plumulitid,Setapedites abundantis,1
Large plumulitid,Orometopus sp.,1
Large plumulitid,Geragnostus sp.,1
Large plumulitid,Kiaerograptus'? sp. (slightly deflexed),1
Large plumulitid,Webbyites felix,1
Palaeoscolex cf. tenensis,Benthic detritus,2
Palaeoscolex cf. tenensis,Plectorthis simplex,1
Palaeoscolex cf. tenensis,Angusticardinia sp.,1
Palaeoscolex cf. tenensis,Celdobolus mirandus,1
Palaeoscolex cf. tenensis,Tarfaya sp.,1
Palaeoscolex cf. tenensis,Wosekella maghribi  ,1
Palaeoscolex cf. tenensis,Wosekella filiola,1
Palaeoscolex cf. tenensis,Sedlecilingula sp.,1
Palaeoscolex cf. tenensis,Lingulella lata?,1
Palaeoscolex cf. tenensis,Glossella sp.,1
Palaeoscolex cf. tenensis,Rafanoglossa inversa,1
Palaeoscolex cf. tenensis,Spondyglossella? sp.,1
Palaeoscolex cf. tenensis,Obolidae indet.,1
Palaeoscolex cf. tenensis,Orbithele tazagurta,1
Palaeoscolex cf. tenensis,Lacunites punctum,1
Palaeoscolex cf. tenensis,Nothorthis sp.,1
Palaeoscolex cf. tenensis,Nanorthis sp.,1
Palaeoscolex cf. tenensis,Euorthisina sp. 1,1
Palaeoscolex cf. tenensis,Kvania sp.,1
Palaeoscolex cf. tenensis,Tinzoulinorthis fasciata,1
Palaeoscolex cf. tenensis,Tinzoulinorthis? sp.,1
Palaeoscolex cf. tenensis,Incorthis sp.,1
Palaeoscolex cf. tenensis,Nocturnellia sp.,1
Palaeoscolex cf. tenensis,Ribeiria cf. personata,1
Palaeoscolex cf. tenensis,Indiligens sp.,1
Palaeoscolex cf. tenensis,Babinka prima,1
Palaeoscolex cf. tenensis,Redonia michelae,1
Palaeoscolex cf. tenensis,Pelecyogyra fezouataensis,1
Palaeoscolex cf. tenensis,Carcassonnella sp.,1
Palaeoscolex cf. tenensis,Wiwaxiid,1
Palaeoscolex cf. tenensis,Plumulites bengtsoni,2
Palaeoscolex cf. tenensis,Large plumulitid,2
Palaeoscolex cf. tenensis,Selkirkia tsering,1
Palaeoscolex cf. tenensis,Enosiaspis hrungnir,1
Palaeoscolex cf. tenensis,Setapedites abundantis,1
Palaeoscolex cf. tenensis,Tariccoia tazagurtensis,1
Palaeoscolex cf. tenensis,Cheloniellid,1
Palaeoscolex cf. tenensis,Apatokephalus cf. incisus,1
Palaeoscolex cf. tenensis,Orometopus sp.,1
Palaeoscolex cf. tenensis,Foulonia peregrina,1
Palaeoscolex cf. tenensis,Toletanaspis aff. borni,1
Palaeoscolex cf. tenensis,Colpocoryphe thorali,1
Palaeoscolex cf. tenensis,Colpocoryphe pradesensis,1
Palaeoscolex cf. tenensis,Pharostomina sp. ,1
Palaeoscolex cf. tenensis,Agerina quadrata,1
Palaeoscolex cf. tenensis,Geragnostus sp.,1
Palaeoscolex cf. tenensis,Ampyx priscus,1
Palaeoscolex cf. tenensis,Nileus deynouxi,1
Selkirkia tsering,Benthic detritus,2
Selkirkia tsering,Plectorthis simplex,1
Selkirkia tsering,Angusticardinia sp.,1
Selkirkia tsering,Tarfaya sp.,1
Selkirkia tsering,Wosekella maghribi  ,1
Selkirkia tsering,Wosekella filiola,1
Selkirkia tsering,Celdobolus mirandus,1
Selkirkia tsering,Lingulella lata?,1
Selkirkia tsering,Glossella sp.,1
Selkirkia tsering,Rafanoglossa inversa,1
Selkirkia tsering,Spondyglossella? sp.,1
Selkirkia tsering,Obolidae indet.,1
Selkirkia tsering,Orbithele tazagurta,1
Selkirkia tsering,Euorthisina sp. 1,1
Selkirkia tsering,Kvania sp.,1
Selkirkia tsering,Tinzoulinorthis fasciata,1
Selkirkia tsering,Tinzoulinorthis? sp.,1
Selkirkia tsering,Incorthis sp.,1
Selkirkia tsering,Nocturnellia sp.,1
Selkirkia tsering,Carcassonnella sp.,1
Selkirkia tsering,Wiwaxiid,1
Selkirkia tsering,Setapedites abundantis,1
Selkirkia tsering,Tariccoia tazagurtensis,1
Selkirkia tsering,Orometopus sp.,1
Selkirkia tsering,Agerina quadrata,1
Selkirkia tsering,Geragnostus sp.,1
Selkirkia tsering,Nileus deynouxi,1
Aegirocassis benmoulai,Zooplankton,2
Aegirocassis benmoulai,Clonograptus rigidus,1
Aegirocassis benmoulai,Clonograptus multiplex,1
Aegirocassis benmoulai,Hunnegraptus copiosus??,1
Aegirocassis benmoulai, 'Kiaerograptus' supremus,1
Aegirocassis benmoulai,Paradelograptus norvegicus,1
Aegirocassis benmoulai,Paradelograptus tenuis,1
Aegirocassis benmoulai,Paratemnograptus magnificus,1
Aegirocassis benmoulai, 'Tetragraptus' bulmani,1
Aegirocassis benmoulai,Tetragraptus sp. (3-stiped),1
Aegirocassis benmoulai,Sagenograptus murrayi,1
Aegirocassis benmoulai,Rhabdinopora anglica,1
Aegirocassis benmoulai,Rhabdinopora flabelliforme,1
Aegirocassis benmoulai,Rhabdinopora socialis,1
Aegirocassis benmoulai,Rhabdinopora canadensis,1
