Cons._sp.,Resource_sp.,Certainty level
Bactroceras sp.,Eocrinoidea indet. sp. 2,1
Bactroceras sp.,Eocrinoidea indet.,1
Bactroceras sp.,Ramseyocrinus sp.,1
Bactroceras sp.,Crinoid 2,1
Bactroceras sp.,Aethocrinus cf. moorei,1
Bactroceras sp.,Iocrinus n. sp.,1
Bactroceras sp.,Cystoidea?/undet. Cystoidea,1
Bactroceras sp.,Argodiscus espilezorum,1
Bactroceras sp.,Anedriophus moroccoensis,1
Bactroceras sp.,Rhenopyrgid indet.,1
Bactroceras sp.,Ampelocarpus sp.,1
Bactroceras sp.,Amygdalotheca griffei,1
Bactroceras sp.,Anatifopsis escandei,1
Bactroceras sp.,Anatifopsis trapeziiformis,1
Bactroceras sp.,Anatifopsis sp.,1
Bactroceras sp.,"Anomalocystid n. gen., n. sp. ",1
Bactroceras sp.,Aspidocarpus sp.,1
Bactroceras sp.,Arauricystis? sp.,1
Bactroceras sp.,Balanocystites primus,1
Bactroceras sp.,Bohemiaecystis,1
Bactroceras sp.,Chauvelicystis ubaghsi,1
Bactroceras sp.,Chauvelicystis spinosa,1
Bactroceras sp.,Chauvelicystis vizcainoi,1
Bactroceras sp.,Chauvelicystis sp.,1
Bactroceras sp.,"Chauvelicystid n. gen., n. sp. 1",1
Bactroceras sp.,"Chauvelicystid n. gen., n. sp. 2",1
Bactroceras sp.,Chinianocarpos sp.,1
Bactroceras sp.,"Cornuta n. gen. 1, n. sp.",1
Bactroceras sp.,"Cornuta n. gen. 2, n. sp.",1
Bactroceras sp.,Flabellicarpus rushtoni,1
Bactroceras sp.,Flabellicarpus?,1
Bactroceras sp.,Galliaecystis n. sp.,1
Bactroceras sp.,Galliaecystis ubaghsi,1
Bactroceras sp.,Hanusia n. sp.,1
Bactroceras sp.,Lagynocystis pyramidalis,1
Bactroceras sp.,Kirkocystidae?,1
Bactroceras sp.,Lyricocarpus courtessolei,1
Bactroceras sp.,Milonicystis sp.,1
Bactroceras sp.,Mitrocystitid indet. cf. Ovocarpus,1
Bactroceras sp.,Nanocarpus cf. dolambii,1
Bactroceras sp.,Phyllocystis blayaci,1
Bactroceras sp.,Phyllocystis sp.,1
Bactroceras sp.,Procothurnocystis n. sp.,1
Bactroceras sp.,Prokopicystis sp.,1
Bactroceras sp.,Thoralicystis zagoraensis,1
Bactroceras sp.,Thoralicystis n. sp.,1
Bactroceras sp.,Vizcainocarpus sp.,1
Bactroceras sp.,Cothurnocystid indetl.,1
Bactroceras sp.,Hanusiid indet.,1
Bactroceras sp.,Peltocystis cornuta,1
Bactroceras sp.,Scotiaevystis? sp.,1
Bactroceras sp.,Macrocystella sp.,1
Bactroceras sp.,Macrocystella bohemica,1
Bactroceras sp.,Macrocystella cf. mariae,1
Bactroceras sp.,Macrocystella tasseftensis,1
Bactroceras sp.,undet. Ophiuroidea,1
Bactroceras sp.,Clonograptus rigidus,1
Bactroceras sp.,Clonograptus flexibilis,1
Bactroceras sp.,Clonograptus flexilis,1
Bactroceras sp.,Clonograptus persistens,1
Bactroceras sp.,Clonograptus multiplex,1
Bactroceras sp.,Didymograptus cf. arcuatus,1
Bactroceras sp.,Didymograptus deflexus,1
Bactroceras sp.,Didymograptus extensus,1
Bactroceras sp.,Didymograptus v-fractus,1
Bactroceras sp.,Didymograptus intendus,1
Bactroceras sp.,Didymograptus pennatulus,1
Bactroceras sp.,Didymograptus nanus,1
Bactroceras sp.,Didymograptus nitidus,1
Bactroceras sp.,Didymograptus patulus,1
Bactroceras sp.,Didymograptus sparsus,1
Bactroceras sp.,"""Didymograptus sp. 1""",1
Bactroceras sp.,Didymograptus sp.,1
Bactroceras sp.,Didymograptid indet.,1
Bactroceras sp.,Dichograptidae?,1
Bactroceras sp.,Hunnegraptus copiosus,1
Bactroceras sp., 'Kiaerograptus' supremus,1
Bactroceras sp.,Koremagraptus sp.,1
Bactroceras sp.,Paradelograptus norvegicus,1
Bactroceras sp.,Paradelograptus tenuis,1
Bactroceras sp.,Paratemnograptus magnificus,1
