CONSUMER;RESOURCE
Brachytomaria papillosa;Jonesites sp.
Brachytomaria papillosa;Cryptophyllus sp.
Brachytomaria papillosa;Eurychilina sp.
Brachytomaria papillosa;Anticostiella sp.
Brachytomaria papillosa;Schmidtella sp.
Brachytomaria papillosa;Faurella sp.
Brachytomaria papillosa;Spinigerites sp.
Brachytomaria papillosa;Foramenella sp.
Brachytomaria papillosa;Tetradella sp.
Brachytomaria papillosa;Tvaerenella sp.
Brachytomaria papillosa;Eographiodactylus sp.
Brachytomaria papillosa;Steusloffina cuneata
Brachytomaria papillosa;Elliptocyprites sp.
Brachytomaria papillosa;Krausella sp.
Brachytomaria papillosa;Longiscula sp.
Brachytomaria papillosa;Aviacypris sp.
Brachytomaria papillosa;Macrocyproides sp.
Brachytomaria papillosa;Microcheilinella sp.
Brachytomaria papillosa;Rectella sp.
Brachytomaria papillosa;Medianella sp.
Brachytomaria papillosa;Leperditella sp.
Brachytomaria papillosa;Eokloedenella sp.
Cyrtospira notata;Glauconome strigosa
Cyrtospira notata;Helopora sp.
Cyrtospira notata;Nematopora lineata
Cyrtospira notata;Dicranopora fragilis
Cyrtospira notata;Phaenopora sp.
Cyrtospira notata;Ptilodictya canadensis
Cyrtospira notata;Pachydictya sp.
Cyrtospira notata;Lichenalia utricula
Cyrtospira notata;Stomatopora sp.
Cyrtospira notata;Ceramopora sp.
Cyrtospira notata;Chasmatopora angulata
Cyrtospira notata;Cyphotrypa bulbosa
Cyrtospira notata;Dianulites sp.
Cyrtospira notata;Hallopora sp.
Cyrtospira notata;Aspidopora siluriana
Cyrtospira notata;Atactoporella spicata
Cyrtospira notata;Nicholsonella parvula
Cyrtospira notata;Corynotrypa sp.
Cyrtospira notata;Allonema sp.
Subulites sp.;Glauconome strigosa
Subulites sp.;Helopora sp.
Subulites sp.;Nematopora lineata
Subulites sp.;Dicranopora fragilis
Subulites sp.;Phaenopora sp.
Subulites sp.;Ptilodictya canadensis
Subulites sp.;Pachydictya sp.
Subulites sp.;Lichenalia utricula
Subulites sp.;Stomatopora sp.
Subulites sp.;Ceramopora sp.
Subulites sp.;Chasmatopora angulata
Subulites sp.;Cyphotrypa bulbosa
Subulites sp.;Dianulites sp.
Subulites sp.;Hallopora sp.
Subulites sp.;Aspidopora siluriana
Subulites sp.;Atactoporella spicata
Subulites sp.;Nicholsonella parvula
Subulites sp.;Corynotrypa sp.
Subulites sp.;Allonema sp.
Subulites sp.;Rectograptus abbreviatus
Subulites sp.;Normalograptus sp.
Subulites sp.;Quasiaulacera occidua
Subulites sp.;Ecclimadictyon sp.
Atraktoprion sp.;detritus
Atraktoprion sp.;zooplankton
Hadoprion cervicornis;zooplankton
Kalloprion sp.;zooplankton
Kalloprion sp.;detritus
Mochtyella sp.;zooplankton
Pistoprion transitans;zooplankton
Pistoprion transitans;detritus
Vistulella kozlowskii;zooplankton
Kettnerites sp.;zooplankton
Kettnerites sp.;detritus
Oenonites sp.;zooplankton
Pteropelta gladiata;zooplankton
Ramphoprion ineptus;detritus
Ramphoprion ineptus;zooplankton
Tetraprion pozaryskae;detritus
Tetraprion pozaryskae;zooplankton
Xanioprion sp.;detritus
Xanioprion sp.;zooplankton
Lunoprionella sp.;detritus
Lunoprionella sp.;zooplankton
Hadoprion cervicornis;Aechmina sp.
Hadoprion cervicornis;Baltonotella sp.
Hadoprion cervicornis;Dicranella sp.
Hadoprion cervicornis;Jonesites sp.
Hadoprion cervicornis;Cryptophyllus sp.
Hadoprion cervicornis;Eurychilina sp.
Hadoprion cervicornis;Anticostiella sp.
Hadoprion cervicornis;Schmidtella sp.
Hadoprion cervicornis;Faurella sp.
Hadoprion cervicornis;Spinigerites sp.
Hadoprion cervicornis;Foramenella sp.
Hadoprion cervicornis;Tetradella sp.
Hadoprion cervicornis;Tvaerenella sp.
Hadoprion cervicornis;Eographiodactylus sp.
Hadoprion cervicornis;Steusloffina cuneata
Hadoprion cervicornis;Elliptocyprites sp.
Hadoprion cervicornis;Krausella sp.
Hadoprion cervicornis;Longiscula sp.
Hadoprion cervicornis;Aviacypris sp.
Hadoprion cervicornis;Macrocyproides sp.
Hadoprion cervicornis;Microcheilinella sp.
Hadoprion cervicornis;Rectella sp.
Hadoprion cervicornis;Medianella sp.
Hadoprion cervicornis;Leperditella sp.
Hadoprion cervicornis;Eokloedenella sp.
Mochtyella sp.;Aechmina sp.
Mochtyella sp.;Baltonotella sp.
Mochtyella sp.;Dicranella sp.
Mochtyella sp.;Jonesites sp.
Mochtyella sp.;Cryptophyllus sp.
Mochtyella sp.;Eurychilina sp.
Mochtyella sp.;Anticostiella sp.
Mochtyella sp.;Schmidtella sp.
Mochtyella sp.;Faurella sp.
Mochtyella sp.;Spinigerites sp.
Mochtyella sp.;Foramenella sp.
Mochtyella sp.;Tetradella sp.
Mochtyella sp.;Tvaerenella sp.
Mochtyella sp.;Eographiodactylus sp.
Mochtyella sp.;Steusloffina cuneata
Mochtyella sp.;Elliptocyprites sp.
Mochtyella sp.;Krausella sp.
Mochtyella sp.;Longiscula sp.
Mochtyella sp.;Aviacypris sp.
Mochtyella sp.;Macrocyproides sp.
Mochtyella sp.;Microcheilinella sp.
Mochtyella sp.;Rectella sp.
Mochtyella sp.;Medianella sp.
Mochtyella sp.;Leperditella sp.
Mochtyella sp.;Eokloedenella sp.
Oenonites sp.;Glauconome strigosa
Oenonites sp.;Helopora sp.
Oenonites sp.;Nematopora lineata
Oenonites sp.;Dicranopora fragilis
Oenonites sp.;Phaenopora sp.
Oenonites sp.;Ptilodictya canadensis
Oenonites sp.;Pachydictya sp.
Oenonites sp.;Lichenalia utricula
Oenonites sp.;Stomatopora sp.
Oenonites sp.;Ceramopora sp.
Oenonites sp.;Chasmatopora angulata
Oenonites sp.;Cyphotrypa bulbosa
Oenonites sp.;Dianulites sp.
Oenonites sp.;Hallopora sp.
Oenonites sp.;Aspidopora siluriana
Oenonites sp.;Atactoporella spicata
Oenonites sp.;Nicholsonella parvula
Oenonites sp.;Corynotrypa sp.
Oenonites sp.;Allonema sp.
Pteropelta gladiata;Glauconome strigosa
Pteropelta gladiata;Helopora sp.
Pteropelta gladiata;Nematopora lineata
Pteropelta gladiata;Dicranopora fragilis
Pteropelta gladiata;Phaenopora sp.
Pteropelta gladiata;Ptilodictya canadensis
Pteropelta gladiata;Pachydictya sp.
Pteropelta gladiata;Lichenalia utricula
Pteropelta gladiata;Stomatopora sp.
Pteropelta gladiata;Ceramopora sp.
Pteropelta gladiata;Chasmatopora angulata
Pteropelta gladiata;Cyphotrypa bulbosa
Pteropelta gladiata;Dianulites sp.
Pteropelta gladiata;Hallopora sp.
Pteropelta gladiata;Aspidopora siluriana
Pteropelta gladiata;Atactoporella spicata
Pteropelta gladiata;Nicholsonella parvula
Pteropelta gladiata;Corynotrypa sp.
Pteropelta gladiata;Allonema sp.
Aphelognathus grandis;zooplankton
Drepanoistodus suberectus;zooplankton
Gamachignathus ensifer;zooplankton
Amorphognathus sp.;zooplankton
Walliserodus curvatus;zooplankton
Panderodus sp.;zooplankton
Oulodus sp.;zooplankton
Belodina sp.;zooplankton
Ozarkodina sp.;zooplankton
Decoriconus sp.;zooplankton
Phragmodus sp.;zooplankton
Pseudooneotodus beckmanni;zooplankton
Panderodus sp.;Aechmina sp.
Panderodus sp.;Baltonotella sp.
Panderodus sp.;Dicranella sp.
Panderodus sp.;Jonesites sp.
Panderodus sp.;Cryptophyllus sp.
Panderodus sp.;Eurychilina sp.
Panderodus sp.;Anticostiella sp.
Panderodus sp.;Schmidtella sp.
Panderodus sp.;Faurella sp.
Panderodus sp.;Spinigerites sp.
Panderodus sp.;Foramenella sp.
Panderodus sp.;Tetradella sp.
Panderodus sp.;Tvaerenella sp.
Panderodus sp.;Eographiodactylus sp.
Panderodus sp.;Steusloffina cuneata
Panderodus sp.;Elliptocyprites sp.
Panderodus sp.;Krausella sp.
Panderodus sp.;Longiscula sp.
Panderodus sp.;Aviacypris sp.
Panderodus sp.;Macrocyproides sp.
Panderodus sp.;Microcheilinella sp.
Panderodus sp.;Rectella sp.
Panderodus sp.;Medianella sp.
Panderodus sp.;Leperditella sp.
Panderodus sp.;Eokloedenella sp.
Ozarkodina sp.;Aechmina sp.
Ozarkodina sp.;Baltonotella sp.
Ozarkodina sp.;Dicranella sp.
Ozarkodina sp.;Jonesites sp.
Ozarkodina sp.;Cryptophyllus sp.
Ozarkodina sp.;Eurychilina sp.
Ozarkodina sp.;Anticostiella sp.
Ozarkodina sp.;Schmidtella sp.
Ozarkodina sp.;Faurella sp.
Ozarkodina sp.;Spinigerites sp.
Ozarkodina sp.;Foramenella sp.
Ozarkodina sp.;Tetradella sp.
Ozarkodina sp.;Tvaerenella sp.
Ozarkodina sp.;Eographiodactylus sp.
Ozarkodina sp.;Steusloffina cuneata
Ozarkodina sp.;Elliptocyprites sp.
Ozarkodina sp.;Krausella sp.
Ozarkodina sp.;Longiscula sp.
Ozarkodina sp.;Aviacypris sp.
Ozarkodina sp.;Macrocyproides sp.
Ozarkodina sp.;Microcheilinella sp.
Ozarkodina sp.;Rectella sp.
Ozarkodina sp.;Medianella sp.
Ozarkodina sp.;Leperditella sp.
Ozarkodina sp.;Eokloedenella sp.
Panderodus sp.;Kettnerites sp.
Panderodus sp.;Oenonites sp.
Panderodus sp.;Xanioprion sp.
Panderodus sp.;Lunoprionella sp.
Aphelognathus grandis;Kettnerites sp.
Aphelognathus grandis;Oenonites sp.
Aphelognathus grandis;Xanioprion sp.
Aphelognathus grandis;Lunoprionella sp.
Gamachignathus ensifer;Kettnerites sp.
Gamachignathus ensifer;Oenonites sp.
Gamachignathus ensifer;Xanioprion sp.
Gamachignathus ensifer;Lunoprionella sp.
Amorphognathus sp.;Kettnerites sp.
Amorphognathus sp.;Oenonites sp.
Amorphognathus sp.;Xanioprion sp.
Amorphognathus sp.;Lunoprionella sp.
Ozarkodina sp.;Kettnerites sp.
Ozarkodina sp.;Oenonites sp.
Ozarkodina sp.;Xanioprion sp.
Ozarkodina sp.;Lunoprionella sp.
Cornulites sp.;phytoplankton
Cornulites sp.;detritus
Isotelus sp.;detritus
Isotelus sp.;Aphelognathus grandis
Isotelus sp.;Drepanoistodus suberectus
Isotelus sp.;Gamachignathus ensifer
Isotelus sp.;Amorphognathus sp.
Isotelus sp.;Walliserodus curvatus
Isotelus sp.;Panderodus sp.
Isotelus sp.;Oulodus sp.
Isotelus sp.;Belodina sp.
Isotelus sp.;Ozarkodina sp.
Isotelus sp.;Decoriconus sp.
Isotelus sp.;Phragmodus sp.
Isotelus sp.;Pseudooneotodus beckmanni
Isotelus sp.;Atraktoprion sp.
Isotelus sp.;Hadoprion cervicornis
Isotelus sp.;Kalloprion sp.
Isotelus sp.;Mochtyella sp.
Isotelus sp.;Pistoprion transitans
Isotelus sp.;Vistulella kozlowskii
Isotelus sp.;Kettnerites sp.
Isotelus sp.;Oenonites sp.
Isotelus sp.;Pteropelta gladiata
Isotelus sp.;Ramphoprion ineptus
Isotelus sp.;Tetraprion pozaryskae
Isotelus sp.;Aechmina sp.
Isotelus sp.;Baltonotella sp.
Isotelus sp.;Dicranella sp.
Isotelus sp.;Jonesites sp.
Isotelus sp.;Cryptophyllus sp.
Isotelus sp.;Eurychilina sp.
Isotelus sp.;Anticostiella sp.
Isotelus sp.;Schmidtella sp.
Isotelus sp.;Faurella sp.
Isotelus sp.;Spinigerites sp.
Isotelus sp.;Foramenella sp.
Isotelus sp.;Tetradella sp.
Isotelus sp.;Tvaerenella sp.
Isotelus sp.;Eographiodactylus sp.
Isotelus sp.;Steusloffina cuneata
Isotelus sp.;Elliptocyprites sp.
Isotelus sp.;Krausella sp.
Isotelus sp.;Longiscula sp.
Isotelus sp.;Aviacypris sp.
Isotelus sp.;Macrocyproides sp.
Isotelus sp.;Microcheilinella sp.
Isotelus sp.;Rectella sp.
Isotelus sp.;Medianella sp.
Isotelus sp.;Leperditella sp.
Isotelus sp.;Eokloedenella sp.
Toxochasmops anticostiensis;Aechmina sp.
Toxochasmops anticostiensis;Baltonotella sp.
Toxochasmops anticostiensis;Dicranella sp.
Toxochasmops anticostiensis;Jonesites sp.
Toxochasmops anticostiensis;Cryptophyllus sp.
Toxochasmops anticostiensis;Eurychilina sp.
Toxochasmops anticostiensis;Anticostiella sp.
Toxochasmops anticostiensis;Schmidtella sp.
Toxochasmops anticostiensis;Faurella sp.
Toxochasmops anticostiensis;Spinigerites sp.
Toxochasmops anticostiensis;Foramenella sp.
Toxochasmops anticostiensis;Tetradella sp.
Toxochasmops anticostiensis;Tvaerenella sp.
Toxochasmops anticostiensis;Eographiodactylus sp.
Toxochasmops anticostiensis;Steusloffina cuneata
Toxochasmops anticostiensis;Elliptocyprites sp.
Toxochasmops anticostiensis;Krausella sp.
Toxochasmops anticostiensis;Longiscula sp.
Toxochasmops anticostiensis;Aviacypris sp.
Toxochasmops anticostiensis;Macrocyproides sp.
Toxochasmops anticostiensis;Microcheilinella sp.
Toxochasmops anticostiensis;Rectella sp.
Toxochasmops anticostiensis;Medianella sp.
Toxochasmops anticostiensis;Leperditella sp.
Toxochasmops anticostiensis;Eokloedenella sp.
Toxochasmops anticostiensis;Aphelognathus grandis
Toxochasmops anticostiensis;Drepanoistodus suberectus
Toxochasmops anticostiensis;Gamachignathus ensifer
Toxochasmops anticostiensis;Amorphognathus sp.
Toxochasmops anticostiensis;Walliserodus curvatus
Toxochasmops anticostiensis;Panderodus sp.
Toxochasmops anticostiensis;Oulodus sp.
Toxochasmops anticostiensis;Belodina sp.
Toxochasmops anticostiensis;Ozarkodina sp.
Toxochasmops anticostiensis;Decoriconus sp.
Toxochasmops anticostiensis;Phragmodus sp.
Toxochasmops anticostiensis;Pseudooneotodus beckmanni
Calymene sp.;detritus
Calymene sp.;Aphelognathus grandis
Calymene sp.;Drepanoistodus suberectus
Calymene sp.;Gamachignathus ensifer
Calymene sp.;Amorphognathus sp.
Calymene sp.;Walliserodus curvatus
Calymene sp.;Panderodus sp.
Calymene sp.;Oulodus sp.
Calymene sp.;Belodina sp.
Calymene sp.;Ozarkodina sp.
Calymene sp.;Decoriconus sp.
Calymene sp.;Phragmodus sp.
Calymene sp.;Pseudooneotodus beckmanni
Ceraurinus icarus;Aechmina sp.
Ceraurinus icarus;Baltonotella sp.
Ceraurinus icarus;Dicranella sp.
Ceraurinus icarus;Jonesites sp.
Ceraurinus icarus;Cryptophyllus sp.
Ceraurinus icarus;Eurychilina sp.
Ceraurinus icarus;Anticostiella sp.
Ceraurinus icarus;Schmidtella sp.
Ceraurinus icarus;Faurella sp.
Ceraurinus icarus;Spinigerites sp.
Ceraurinus icarus;Foramenella sp.
Ceraurinus icarus;Tetradella sp.
Ceraurinus icarus;Tvaerenella sp.
Ceraurinus icarus;Eographiodactylus sp.
Ceraurinus icarus;Steusloffina cuneata
Ceraurinus icarus;Elliptocyprites sp.
Ceraurinus icarus;Krausella sp.
Ceraurinus icarus;Longiscula sp.
Ceraurinus icarus;Aviacypris sp.
Ceraurinus icarus;Macrocyproides sp.
Ceraurinus icarus;Microcheilinella sp.
Ceraurinus icarus;Rectella sp.
Ceraurinus icarus;Medianella sp.
Ceraurinus icarus;Leperditella sp.
Ceraurinus icarus;Eokloedenella sp.
Ceraurinus icarus;Atraktoprion sp.
Ceraurinus icarus;Hadoprion cervicornis
Ceraurinus icarus;Kalloprion sp.
Ceraurinus icarus;Mochtyella sp.
Ceraurinus icarus;Pistoprion transitans
Ceraurinus icarus;Vistulella kozlowskii
Ceraurinus icarus;Kettnerites sp.
Ceraurinus icarus;Oenonites sp.
Ceraurinus icarus;Pteropelta gladiata
Ceraurinus icarus;Ramphoprion ineptus
Ceraurinus icarus;Tetraprion pozaryskae
Ceraurinus icarus;Xanioprion sp.
Ceraurinus icarus;Lunoprionella sp.
Platycoryphe sp.;detritus
Actinoceras lesperancei;Aechmina sp.
Actinoceras lesperancei;Baltonotella sp.
Actinoceras lesperancei;Dicranella sp.
Actinoceras lesperancei;Jonesites sp.
Actinoceras lesperancei;Cryptophyllus sp.
Actinoceras lesperancei;Eurychilina sp.
Actinoceras lesperancei;Anticostiella sp.
Actinoceras lesperancei;Schmidtella sp.
Actinoceras lesperancei;Faurella sp.
Actinoceras lesperancei;Spinigerites sp.
Actinoceras lesperancei;Foramenella sp.
Actinoceras lesperancei;Tetradella sp.
Actinoceras lesperancei;Tvaerenella sp.
Actinoceras lesperancei;Eographiodactylus sp.
Actinoceras lesperancei;Steusloffina cuneata
Actinoceras lesperancei;Elliptocyprites sp.
Actinoceras lesperancei;Krausella sp.
Actinoceras lesperancei;Longiscula sp.
Actinoceras lesperancei;Aviacypris sp.
Actinoceras lesperancei;Macrocyproides sp.
Actinoceras lesperancei;Microcheilinella sp.
Actinoceras lesperancei;Rectella sp.
Actinoceras lesperancei;Medianella sp.
Actinoceras lesperancei;Leperditella sp.
Actinoceras lesperancei;Eokloedenella sp.
