CONSUMER;RESOURCE
Ladacrinus asynaptos;SOM
Protaxocrinus sp.;SOM
Eucalyptocrinites sp.;SOM
Eucalyptocrinites sp.;bacterioplankton
Salpingostoma sp.;detritus
Holopea sp.;phytoplankton
Holopea sp.;SOM
Cyclonema sp.;detritus
Hormotoma sp.;detritus
Phanerotrema communis;detritus
Spirorapha sp.;Aechmina sp.
Spirorapha sp.;Paraechmina sp.
Spirorapha sp.;Libumella sp.
Spirorapha sp.;Ulrichia sp.
Spirorapha sp.;Cryptophyllus sp.
Spirorapha sp.;Anticostiella sp.
Spirorapha sp.;Gibberella brickensis
Spirorapha sp.;Herrmannina sp.
Spirorapha sp.;Zygobolba sp.
Spirorapha sp.;Jupiterella jupiterensis
Spirorapha sp.;Apatobolbina sp.
Spirorapha sp.;Cyrtocyprus inornata
Spirorapha sp.;Thrallella sp.
Spirorapha sp.;Bairdiocypris sp.
Spirorapha sp.;Punctobeecherella punctata
Spirorapha sp.;Punctomosea sp.
Spirorapha sp.;Menoeidina lavoiei
Spirorapha sp.;Microcheilinella sp.
Spirorapha sp.;Pachydomella sp.
Spirorapha sp.;Conbathella inornata
Spirorapha sp.;Paraschmidtella irregularis
Spirorapha sp.;Ascodictyon siluriense
Spirorapha sp.;Vinella multiradiata
Spirorapha sp.;Helopora sp.
Spirorapha sp.;Phaenopora sp.
Spirorapha sp.;Ptilodictya canadensis
Spirorapha sp.;Pachydictya sp.
Spirorapha sp.;Diploclema sparsum
Spirorapha sp.;Ceramopora sp.
Spirorapha sp.;Chilotrypa circe
Spirorapha sp.;Semicoscinium prestiosum
Spirorapha sp.;Fenestella sp.
Spirorapha sp.;Thamniscus striatopora
Spirorapha sp.;Hallopora sp.
Spirorapha sp.;Lioclemella sp.
Spirorapha sp.;Trematopora irregularis
Spirorapha sp.;Corynotrypa sp.
Spirorapha sp.;Allonema sp.
Aulacognathus bullatus;zooplankton
Distomodus sp.;zooplankton
Icriodella sp.;zooplankton
Pterospathodus sp.;zooplankton
Walliserodus curvatus;zooplankton
Dapsilodus obliquicostatus;zooplankton
Panderodus sp.;zooplankton
Oulodus sp.;zooplankton
Ozarkodina sp.;zooplankton
Decoriconus sp.;zooplankton
Pseudooneotodus beckmanni;zooplankton
Panderodus sp.;Aechmina sp.
Panderodus sp.;Paraechmina sp.
Panderodus sp.;Libumella sp.
Panderodus sp.;Ulrichia sp.
Panderodus sp.;Cryptophyllus sp.
Panderodus sp.;Anticostiella sp.
Panderodus sp.;Gibberella brickensis
Panderodus sp.;Herrmannina sp.
Panderodus sp.;Zygobolba sp.
Panderodus sp.;Jupiterella jupiterensis
Panderodus sp.;Apatobolbina sp.
Panderodus sp.;Cyrtocyprus inornata
Panderodus sp.;Thrallella sp.
Panderodus sp.;Bairdiocypris sp.
Panderodus sp.;Punctobeecherella punctata
Panderodus sp.;Punctomosea sp.
Panderodus sp.;Menoeidina lavoiei
Panderodus sp.;Microcheilinella sp.
Panderodus sp.;Pachydomella sp.
Panderodus sp.;Conbathella inornata
Panderodus sp.;Paraschmidtella irregularis
Ozarkodina sp.;Aechmina sp.
Ozarkodina sp.;Paraechmina sp.
Ozarkodina sp.;Libumella sp.
Ozarkodina sp.;Ulrichia sp.
Ozarkodina sp.;Cryptophyllus sp.
Ozarkodina sp.;Anticostiella sp.
Ozarkodina sp.;Gibberella brickensis
Ozarkodina sp.;Herrmannina sp.
Ozarkodina sp.;Zygobolba sp.
Ozarkodina sp.;Jupiterella jupiterensis
Ozarkodina sp.;Apatobolbina sp.
Ozarkodina sp.;Cyrtocyprus inornata
Ozarkodina sp.;Thrallella sp.
Ozarkodina sp.;Bairdiocypris sp.
Ozarkodina sp.;Punctobeecherella punctata
Ozarkodina sp.;Punctomosea sp.
Ozarkodina sp.;Menoeidina lavoiei
Ozarkodina sp.;Microcheilinella sp.
Ozarkodina sp.;Pachydomella sp.
Ozarkodina sp.;Conbathella inornata
Ozarkodina sp.;Paraschmidtella irregularis
Failleana wangi;detritus
Failleana wangi;Aechmina sp.
Failleana wangi;Paraechmina sp.
Failleana wangi;Libumella sp.
Failleana wangi;Ulrichia sp.
Failleana wangi;Cryptophyllus sp.
Failleana wangi;Anticostiella sp.
Failleana wangi;Gibberella brickensis
Failleana wangi;Herrmannina sp.
Failleana wangi;Zygobolba sp.
Failleana wangi;Jupiterella jupiterensis
Failleana wangi;Apatobolbina sp.
Failleana wangi;Cyrtocyprus inornata
Failleana wangi;Thrallella sp.
Failleana wangi;Bairdiocypris sp.
Failleana wangi;Punctobeecherella punctata
Failleana wangi;Punctomosea sp.
Failleana wangi;Menoeidina lavoiei
Failleana wangi;Microcheilinella sp.
Failleana wangi;Pachydomella sp.
Failleana wangi;Conbathella inornata
Failleana wangi;Paraschmidtella irregularis
Arctinurus sp.;detritus
Arctinurus sp.;Aulacognathus bullatus
Arctinurus sp.;Distomodus sp.
Arctinurus sp.;Icriodella sp.
Arctinurus sp.;Pterospathodus sp.
Arctinurus sp.;Walliserodus curvatus
Arctinurus sp.;Dapsilodus obliquicostatus
Arctinurus sp.;Panderodus sp.
Arctinurus sp.;Oulodus sp.
Arctinurus sp.;Ozarkodina sp.
Arctinurus sp.;Decoriconus sp.
Arctinurus sp.;Pseudooneotodus beckmanni
Dalaspis sp.;detritus
Dalaspis sp.;Aechmina sp.
Dalaspis sp.;Paraechmina sp.
Dalaspis sp.;Libumella sp.
Dalaspis sp.;Ulrichia sp.
Dalaspis sp.;Cryptophyllus sp.
